"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Mean (SD)","22.83 (1.72)","22.20 (1.45)","22.54 (1.78)","22.73 (1.72)","VALUE",12,2,72,0
"Median","23.00","22.32","22.41","23.22","VALUE",12,2,73,0
"Geometric mean","22.76","22.16","22.48","22.67","VALUE",12,2,74,0
"Min, max","20.19, 25.26","20.01, 24.69","20.15, 25.20","20.11, 25.27","VALUE",12,2,75,0
"CV (%)","7.5","6.5","7.9","7.6","VALUE",12,2,76,0
"Interquartile range","21.08, 24.32","21.50, 22.95","20.70, 24.26","21.14, 24.30","VALUE",12,2,77,0
"Day 1 - 12h Post-dose","","","","","HEADER",13,0,77,1
"N","20","7","16","29","N",13,1,78,0
"Mean (SD)","0.56 (0.04)","0.55 (0.03)","0.55 (0.03)","0.55 (0.04)","VALUE",13,2,79,0
"Median","0.56","0.55","0.56","0.55","VALUE",13,2,80,0
"Geometric mean","0.56","0.55","0.55","0.55","VALUE",13,2,81,0
"Min, max","0.49, 0.61","0.49, 0.60","0.50, 0.60","0.49, 0.62","VALUE",13,2,82,0
"CV (%)","6.3","6.0","5.9","6.5","VALUE",13,2,83,0
"Interquartile range","0.53, 0.59","0.55, 0.58","0.53, 0.58","0.52, 0.57","VALUE",13,2,84,0
"Day 1 - 16h Post-dose","","","","","HEADER",14,0,84,1
"N","20","7","16","29","N",14,1,85,0
"Mean (SD)","0.17 (0.02)","0.16 (0.02)","0.16 (0.02)","0.16 (0.02)","VALUE",14,2,86,0
"Median","0.17","0.16","0.16","0.16","VALUE",14,2,87,0
"Geometric mean","0.17","0.16","0.16","0.16","VALUE",14,2,88,0
"Min, max","0.14, 0.19","0.13, 0.19","0.14, 0.19","0.13, 0.20","VALUE",14,2,89,0
"CV (%)","11.1","10.2","11.1","11.5","VALUE",14,2,90,0
"Interquartile range","0.15, 0.18","0.16, 0.17","0.15, 0.18","0.15, 0.18","VALUE",14,2,91,0
"Day 1 - 12-24h Post-dose","","","","","HEADER",15,0,91,1
"N","20","7","16","29","N",15,1,92,0
"Mean (SD)","14.49 (2.09)","13.74 (1.76)","14.15 (2.16)","14.38 (2.09)","VALUE",15,2,93,0
"Median","14.72","13.89","14.00","14.98","VALUE",15,2,94,0
"Geometric mean","14.35","13.64","14.00","14.23","VALUE",15,2,95,0
"Min, max","11.29, 17.43","11.07, 16.75","11.24, 17.36","11.18, 17.44","VALUE",15,2,96,0
"CV (%)","14.4","12.8","15.3","14.5","VALUE",15,2,97,0
"Interquartile range","12.38, 16.31","12.90, 14.66","11.91, 16.24","12.45, 16.28","VALUE",15,2,98,0
"Day 2 - 24h Post-dose","","","","","HEADER",16,0,98,1
"N","20","7","16","29","N",16,1,99,0
"Mean (SD)","0.02 (0.00)","0.01 (0.00)","0.01 (0.00)","0.01 (0.00)","VALUE",16,2,100,0
"Median","0.02","0.01","0.01","0.02","VALUE",16,2,101,0
"Geometric mean","0.01","0.01","0.01","0.01","VALUE",16,2,102,0
"Min, max","0.01, 0.02","0.01, 0.02","0.01, 0.02","0.01, 0.02","VALUE",16,2,103,0
"CV (%)","21.1","19.1","21.9","21.6","VALUE",16,2,104,0
"Interquartile range","0.01, 0.02","0.01, 0.02","0.01, 0.02","0.01, 0.02","VALUE",16,2,105,0
"Day 2 - Pre-dose","","","","","HEADER",17,0,105,1
"N","20","7","16","29","N",17,1,106,0
"Mean (SD)","0.02 (0.00)","0.01 (0.00)","0.01 (0.00)","0.01 (0.00)","VALUE",17,2,107,0
"Median","0.02","0.01","0.01","0.02","VALUE",17,2,108,0
"Geometric mean","0.01","0.01","0.01","0.01","VALUE",17,2,109,0
"Min, max","0.01, 0.02","0.01, 0.02","0.01, 0.02","0.01, 0.02","VALUE",17,2,110,0
"CV (%)","21.1","19.1","21.9","21.6","VALUE",17,2,111,0
"Interquartile range","0.01, 0.02","0.01, 0.02","0.01, 0.02","0.01, 0.02","VALUE",17,2,112,0
"Day 2 - 36h Post-dose","","","","","HEADER",18,0,112,1
"N","20","7","16","29","N",18,1,113,0
"Mean (SD)","0.00 (0.00)","0.00 (0.00)","0.00 (0.00)","0.00 (0.00)","VALUE",18,2,114,0
"Median","0.00","0.00","0.00","0.00","VALUE",18,2,115,0
"Geometric mean","0.01","0.01","0.01","0.01","VALUE",18,2,116,0
"Min, max","0.00, 0.00","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",18,2,117,0
"CV (%)","0.0","0.0","0.0","0.0","VALUE",18,2,118,0
"Interquartile range","0.00, 0.00","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",18,2,119,0
"Day 2 - 24-48h Post-dose","","","","","HEADER",19,0,119,1
"N","20","7","16","29","N",19,1,120,0
"Mean (SD)","0.33 (0.60)","0.13 (0.33)","0.29 (0.56)","0.28 (0.52)","VALUE",19,2,121,0
"Median","0.00","0.00","0.00","0.00","VALUE",19,2,122,0
"Geometric mean","0.02","0.01","0.02","0.02","VALUE",19,2,123,0
"Min, max","0.00, 1.77","0.00, 0.87","0.00, 1.67","0.00, 1.78","VALUE",19,2,124,0
"CV (%)","184.0","254.2","194.9","189.2","VALUE",19,2,125,0
"Interquartile range","0.00, 0.40","0.00, 0.00","0.00, 0.18","0.00, 0.24","VALUE",19,2,126,0
"Day 3 - 48h Post-dose","","","","","HEADER",20,0,126,1
"N","20","7","16","29","N",20,1,127,0
"Mean (SD)","0.00 (0.00)","0.00 (0.00)","0.00 (0.00)","0.00 (0.00)","VALUE",20,2,128,0
"Median","0.00","0.00","0.00","0.00","VALUE",20,2,129,0
"Geometric mean","0.01","0.01","0.01","0.01","VALUE",20,2,130,0
"Min, max","0.00, 0.00","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",20,2,131,0
"CV (%)","0.0","0.0","0.0","0.0","VALUE",20,2,132,0
"Interquartile range","0.00, 0.00","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",20,2,133,0
"Day 3 - Pre-dose","","","","","HEADER",21,0,133,1
"N","20","7","16","29","N",21,1,134,0
"Mean (SD)","0.00 (0.00)","0.00 (0.00)","0.00 (0.00)","0.00 (0.00)","VALUE",21,2,135,0
"Median","0.00","0.00","0.00","0.00","VALUE",21,2,136,0
"Geometric mean","0.01","0.01","0.01","0.01","VALUE",21,2,137,0
"Min, max","0.00, 0.00","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",21,2,138,0
"CV (%)","0.0","0.0","0.0","0.0","VALUE",21,2,139,0
"Interquartile range","0.00, 0.00","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",21,2,140,0
