"label","col 1","col 2","col 3","col 4","col 5","col 6","col 7","col 8","row_type","anbr","indentme","roworder","newrows"
"Acute Coronary Syndrome","3 (5.7%)","1 (1.4%)","3 (5.1%)","0.6 (-7.8, 8.9)","-3.7 (-9.9, 2.5)","0","1 (1.4%)","4 (6.8%)","VALUE",7,1,33,0
"Cardiac Conduction Disturbance","0","3 (4.1%)","3 (5.1%)","-5.1 (-10.7, 0.5)","-1.0 (-8.2, 6.2)","0","0","0","VALUE",7,1,34,0
"Myocardial Infarction","3 (5.7%)","1 (1.4%)","3 (5.1%)","0.6 (-7.8, 8.9)","-3.7 (-9.9, 2.5)","0","1 (1.4%)","0","VALUE",7,1,35,0
"Palpitations","0","2 (2.7%)","0","0.0 (0.0, 0.0)","2.7 (-1.0, 6.5)","0","0","0","VALUE",7,1,36,0
"Systemic Hypertension","0","1 (1.4%)","1 (1.7%)","-1.7 (-5.0, 1.6)","-0.3 (-4.6, 3.9)","0","0","0","VALUE",7,1,37,0
"Tachycardia","0","1 (1.4%)","1 (1.7%)","-1.7 (-5.0, 1.6)","-0.3 (-4.6, 3.9)","0","0","0","VALUE",7,1,38,0
"Ear and labyrinth disorders","1 (1.9%)","1 (1.4%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","8 (15.1%)","9 (12.3%)","0","VALUE",8,0,38,1
"Vertigo","1 (1.9%)","1 (1.4%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","8 (15.1%)","9 (12.3%)","0","VALUE",8,1,39,0
"Psychiatric disorders","5 (9.4%)","7 (9.6%)","4 (6.8%)","2.7 (-7.5, 12.8)","2.8 (-6.5, 12.1)","6 (11.3%)","4 (5.5%)","2 (3.4%)","VALUE",9,0,39,1
"Psychosis","2 (3.8%)","0","1 (1.7%)","2.1 (-4.0, 8.2)","-1.7 (-5.0, 1.6)","3 (5.7%)","0","0","VALUE",9,1,40,0
"Study Agent Abuse Potential","1 (1.9%)","3 (4.1%)","1 (1.7%)","0.2 (-4.7, 5.1)","2.4 (-3.2, 8.0)","3 (5.7%)","0","1 (1.7%)","VALUE",9,1,41,0
"Anxiety","0","1 (1.4%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","1 (1.9%)","4 (5.5%)","1 (1.7%)","VALUE",9,1,42,0
"Depression","0","1 (1.4%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","0","0","0","VALUE",9,1,43,0
"Insomnia","1 (1.9%)","0","1 (1.7%)","0.2 (-4.7, 5.1)","-1.7 (-5.0, 1.6)","0","0","0","VALUE",9,1,44,0
"Irritability","0","3 (4.1%)","1 (1.7%)","-1.7 (-5.0, 1.6)","2.4 (-3.2, 8.0)","0","0","0","VALUE",9,1,45,0
"Mania","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0","3 (4.1%)","2 (3.4%)","VALUE",9,1,46,0
"Parasomnia","1 (1.9%)","0","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","0","0","0","VALUE",9,1,47,0
"Infections and infestations","8 (15.1%)","6 (8.2%)","10 (16.9%)","-1.9 (-15.4, 11.7)","-8.7 (-20.2, 2.7)","4 (7.5%)","2 (2.7%)","10 (16.9%)","VALUE",10,0,47,1
"Viral Infection","1 (1.9%)","1 (1.4%)","2 (3.4%)","-1.5 (-7.4, 4.4)","-2.0 (-7.4, 3.3)","3 (5.7%)","1 (1.4%)","6 (10.2%)","VALUE",10,1,48,0
"Pneumonia","0","1 (1.4%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","2 (3.8%)","1 (1.4%)","1 (1.7%)","VALUE",10,1,49,0
"Bacterial Infection","2 (3.8%)","1 (1.4%)","2 (3.4%)","0.4 (-6.5, 7.3)","-2.0 (-7.4, 3.3)","1 (1.9%)","1 (1.4%)","3 (5.1%)","VALUE",10,1,50,0
"Nasopharyngitis","6 (11.3%)","3 (4.1%)","7 (11.9%)","-0.5 (-12.4, 11.3)","-7.8 (-17.2, 1.7)","0","0","0","VALUE",10,1,51,0
"Musculoskeletal and connective tissue disorders","5 (9.4%)","2 (2.7%)","2 (3.4%)","6.0 (-3.1, 15.2)","-0.7 (-6.6, 5.3)","1 (1.9%)","2 (2.7%)","1 (1.7%)","VALUE",11,0,51,1
"Arthritis","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","1 (1.9%)","1 (1.4%)","0","VALUE",11,1,52,0
"Arthralgia","1 (1.9%)","1 (1.4%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","0","0","0","VALUE",11,1,53,0
"Back Pain","3 (5.7%)","1 (1.4%)","1 (1.7%)","4.0 (-3.1, 11.0)","-0.3 (-4.6, 3.9)","0","0","0","VALUE",11,1,54,0
"Fracture","1 (1.9%)","0","1 (1.7%)","0.2 (-4.7, 5.1)","-1.7 (-5.0, 1.6)","0","0","0","VALUE",11,1,55,0
"Muscle Injury","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0","0","1 (1.7%)","VALUE",11,1,56,0
"Myalgia","1 (1.9%)","0","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","0","1 (1.4%)","0","VALUE",11,1,57,0
"Osteoporosis","0","0","1 (1.7%)","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","0","0","0","VALUE",11,1,58,0
"Renal and urinary disorders","1 (1.9%)","0","2 (3.4%)","-1.5 (-7.4, 4.4)","-3.4 (-8.0, 1.2)","1 (1.9%)","3 (4.1%)","3 (5.1%)","VALUE",12,0,58,1
"Urinary Retention","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","1 (1.9%)","3 (4.1%)","3 (5.1%)","VALUE",12,1,59,0
"Renal & Urinary Tract Infection","1 (1.9%)","0","2 (3.4%)","-1.5 (-7.4, 4.4)","-3.4 (-8.0, 1.2)","0","1 (1.4%)","1 (1.7%)","VALUE",12,1,60,0
"Endocrine disorders","1 (1.9%)","1 (1.4%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","0","0","0","VALUE",13,0,60,1
"Hyperglycemia","1 (1.9%)","1 (1.4%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","0","0","0","VALUE",13,1,61,0
"Eye disorders","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0","0","1 (1.7%)","VALUE",14,0,61,1
"Glaucoma","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0","0","1 (1.7%)","VALUE",14,1,62,0
"Hepatobiliary disorders","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0","0","1 (1.7%)","VALUE",15,0,62,1
"Hepatic Injury","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0","0","1 (1.7%)","VALUE",15,1,63,0
"Metabolism and nutrition disorders","1 (1.9%)","0","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","0","1 (1.4%)","0","VALUE",16,0,63,1
"Cachexia","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0","1 (1.4%)","0","VALUE",16,1,64,0
"Lipid Disorder","1 (1.9%)","0","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","0","0","0","VALUE",16,1,65,0
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","1 (1.9%)","1 (1.4%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","0","0","0","VALUE",17,0,65,1
"Malignancy","1 (1.9%)","1 (1.4%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","0","0","0","VALUE",17,1,66,0
"Reproductive system and breast disorders","3 (5.7%)","0","2 (3.4%)","2.3 (-5.5, 10.0)","-3.4 (-8.0, 1.2)","0","1 (1.4%)","3 (5.1%)","VALUE",18,0,66,1
"Abnormal Uterine Bleeding","1 (1.9%)","0","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","0","1 (1.4%)","1 (1.7%)","VALUE",18,1,67,0
"Erectile Dysfunction","1 (1.9%)","0","1 (1.7%)","0.2 (-4.7, 5.1)","-1.7 (-5.0, 1.6)","0","0","1 (1.7%)","VALUE",18,1,68,0
"Excessive Menstrual Bleeding","1 (1.9%)","0","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","0","0","0","VALUE",18,1,69,0
"Sexual Dysfunction","2 (3.8%)","0","2 (3.4%)","0.4 (-6.5, 7.3)","-3.4 (-8.0, 1.2)","0","0","1 (1.7%)","VALUE",18,1,70,0
"Respiratory, thoracic and mediastinal disorders","4 (7.5%)","5 (6.8%)","1 (1.7%)","5.9 (-2.0, 13.7)","5.2 (-1.5, 11.8)","0","1 (1.4%)","1 (1.7%)","VALUE",19,0,70,1
"Bronchospasm","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0","1 (1.4%)","0","VALUE",19,1,71,0
"Cough","4 (7.5%)","4 (5.5%)","1 (1.7%)","5.9 (-2.0, 13.7)","3.8 (-2.4, 10.0)","0","0","1 (1.7%)","VALUE",19,1,72,0
"Dyspnea","0","1 (1.4%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","0","0","0","VALUE",19,1,73,0
"Respiratory Failure","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0","1 (1.4%)","0","VALUE",19,1,74,0
"Vascular disorders","7 (13.2%)","8 (11.0%)","4 (6.8%)","6.4 (-4.7, 17.6)","4.2 (-5.4, 13.8)","0","0","1 (1.7%)","VALUE",20,0,74,1
"Hemorrhage","3 (5.7%)","4 (5.5%)","1 (1.7%)","4.0 (-3.1, 11.0)","3.8 (-2.4, 10.0)","0","0","0","VALUE",20,1,75,0
"Hypotension","0","1 (1.4%)","2 (3.4%)","-3.4 (-8.0, 1.2)","-2.0 (-7.4, 3.3)","0","0","1 (1.7%)","VALUE",20,1,76,0
"Thrombosis","4 (7.5%)","3 (4.1%)","3 (5.1%)","2.5 (-6.6, 11.5)","-1.0 (-8.2, 6.2)","0","0","0","VALUE",20,1,77,0
"Thrombosis Arterial","4 (7.5%)","3 (4.1%)","3 (5.1%)","2.5 (-6.6, 11.5)","-1.0 (-8.2, 6.2)","0","0","0","VALUE",20,1,78,0
