"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows","newpage"
"DYSPEPSIA","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",4,1,27,0,0
"GASTROOESOPHAGEAL REFLUX DISEASE","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",4,1,28,0,0
"Respiratory, thoracic and mediastinal disorders","4 (50.0%)","0","4 (30.8%)","0","50.0 (15.4, 84.6)","0.0 (0.0, 0.0)","VALUE",5,0,28,1,0
"EPISTAXIS","2 (25.0%)","0","2 (15.4%)","0","25.0 (-5.0, 55.0)","0.0 (0.0, 0.0)","VALUE",5,1,29,0,0
"NASAL CONGESTION","2 (25.0%)","0","2 (15.4%)","0","25.0 (-5.0, 55.0)","0.0 (0.0, 0.0)","VALUE",5,1,30,0,0
"COUGH","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",5,1,31,0,0
"PHARYNGOLARYNGEAL PAIN","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",5,1,32,0,0
"PRODUCTIVE COUGH","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",5,1,33,0,0
"RESPIRATORY TRACT CONGESTION","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",5,1,34,0,0
"RHINORRHOEA","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",5,1,35,0,0
"Infections and infestations","3 (37.5%)","0","3 (23.1%)","1 (14.3%)","23.2 (-19.2, 65.6)","-14.3 (-40.2, 11.6)","VALUE",6,0,35,1,0
"HORDEOLUM","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",6,1,36,0,0
"LOWER RESPIRATORY TRACT INFECTION","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",6,1,37,0,0
"RHINITIS","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",6,1,38,0,0
"UPPER RESPIRATORY TRACT INFECTION","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",6,1,39,0,0
"CERVICITIS","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",6,1,40,0,0
"GASTROENTERITIS VIRAL","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",6,1,41,0,0
"URINARY TRACT INFECTION","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",6,1,42,0,0
"VAGINAL MYCOSIS","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",6,1,43,0,0
"Nervous system disorders","3 (37.5%)","0","3 (23.1%)","0","37.5 (4.0, 71.0)","0.0 (0.0, 0.0)","VALUE",7,0,43,1,0
"DIZZINESS","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",7,1,44,0,0
"HEADACHE","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",7,1,45,0,0
"PARAESTHESIA","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",7,1,46,0,0
"PAROSMIA","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",7,1,47,0,0
"Musculoskeletal and connective tissue disorders","2 (25.0%)","0","2 (15.4%)","0","25.0 (-5.0, 55.0)","0.0 (0.0, 0.0)","VALUE",8,0,47,1,0
"FLANK PAIN","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",8,1,48,0,0
"MYALGIA","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",8,1,49,0,0
"Cardiac disorders","0","1 (20.0%)","1 (7.7%)","1 (14.3%)","-14.3 (-40.2, 11.6)","5.7 (-37.9, 49.3)","VALUE",9,0,49,1,0
"SINUS BRADYCARDIA","0","1 (20.0%)","1 (7.7%)","0","0.0 (0.0, 0.0)","20.0 (-15.1, 55.1)","VALUE",9,1,50,0,0
"ATRIOVENTRICULAR BLOCK SECOND DEGREE","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",9,1,51,0,0
"Injury, poisoning and procedural complications","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",10,0,51,1,0
"CONTUSION","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",10,1,52,0,0
"Psychiatric disorders","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",11,0,52,1,0
"LIBIDO DECREASED","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",11,1,53,0,0
"LISTLESS","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",11,1,54,0,0
"Renal and urinary disorders","1 (12.5%)","0","1 (7.7%)","1 (14.3%)","-1.8 (-36.4, 32.8)","-14.3 (-40.2, 11.6)","VALUE",12,0,54,1,0
"CALCULUS URETHRAL","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",12,1,55,0,0
"DYSURIA","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",12,1,56,0,0
"Reproductive system and breast disorders","0","0","0","2 (28.6%)","-28.6 (-62.0, 4.9)","-28.6 (-62.0, 4.9)","VALUE",13,0,56,1,0
"ERECTILE DYSFUNCTION","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",13,1,57,0,0
"PELVIC PAIN","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",13,1,58,0,0
"Age Group: ≥65 to <75 years","16","17","33","19","","","VALUE",2,0,0,0,1
""," "," "," "," "," "," ","VALUE",2,0,1,0,0
"Subjects with ≥1 AE","14 (87.5%)","15 (88.2%)","29 (87.9%)","13 (68.4%)","19.1 (-7.4, 45.5)","19.8 (-6.1, 45.7)","VALUE",2,0,2,0,0
""," "," "," "," "," "," ","VALUE",2,0,3,0,0
"General disorders and administration site conditions","7 (43.8%)","10 (58.8%)","17 (51.5%)","6 (31.6%)","12.2 (-19.9, 44.2)","27.2 (-4.1, 58.6)","VALUE",2,0,4,0,0
"APPLICATION SITE PRURITUS","5 (31.2%)","5 (29.4%)","10 (30.3%)","0","31.2 (8.5, 54.0)","29.4 (7.8, 51.1)","VALUE",2,1,5,0,0
"APPLICATION SITE ERYTHEMA","2 (12.5%)","3 (17.6%)","5 (15.2%)","2 (10.5%)","2.0 (-19.3, 23.3)","7.1 (-15.7, 29.9)","VALUE",2,1,6,0,0
"APPLICATION SITE IRRITATION","2 (12.5%)","2 (11.8%)","4 (12.1%)","0","12.5 (-3.7, 28.7)","11.8 (-3.6, 27.1)","VALUE",2,1,7,0,0
"APPLICATION SITE VESICLES","1 (6.2%)","2 (11.8%)","3 (9.1%)","0","6.2 (-5.6, 18.1)","11.8 (-3.6, 27.1)","VALUE",2,1,8,0,0
"APPLICATION SITE DERMATITIS","1 (6.2%)","1 (5.9%)","2 (6.1%)","3 (15.8%)","-9.5 (-29.8, 10.7)","-9.9 (-29.8, 9.9)","VALUE",2,1,9,0,0
"APPLICATION SITE URTICARIA","0","2 (11.8%)","2 (6.1%)","0","0.0 (0.0, 0.0)","11.8 (-3.6, 27.1)","VALUE",2,1,10,0,0
"CHEST DISCOMFORT","1 (6.2%)","1 (5.9%)","2 (6.1%)","0","6.2 (-5.6, 18.1)","5.9 (-5.3, 17.1)","VALUE",2,1,11,0,0
"FATIGUE","1 (6.2%)","1 (5.9%)","2 (6.1%)","0","6.2 (-5.6, 18.1)","5.9 (-5.3, 17.1)","VALUE",2,1,12,0,0
"APPLICATION SITE PAIN","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",2,1,13,0,0
"CHEST PAIN","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",2,1,14,0,0
"FEELING COLD","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",2,1,15,0,0
"PYREXIA","0","1 (5.9%)","1 (3.0%)","0","0.0 (0.0, 0.0)","5.9 (-5.3, 17.1)","VALUE",2,1,16,0,0
"OEDEMA PERIPHERAL","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",2,1,17,0,0
"Skin and subcutaneous tissue disorders","9 (56.2%)","6 (35.3%)","15 (45.5%)","4 (21.1%)","35.2 (4.8, 65.6)","14.2 (-14.9, 43.4)","VALUE",3,0,17,1,0
"PRURITUS","6 (37.5%)","3 (17.6%)","9 (27.3%)","1 (5.3%)","32.2 (6.5, 58.0)","12.4 (-8.3, 33.1)","VALUE",3,1,18,0,0
"ERYTHEMA","2 (12.5%)","2 (11.8%)","4 (12.1%)","1 (5.3%)","7.2 (-11.8, 26.3)","6.5 (-11.8, 24.8)","VALUE",3,1,19,0,0
"HYPERHIDROSIS","2 (12.5%)","1 (5.9%)","3 (9.1%)","1 (5.3%)","7.2 (-11.8, 26.3)","0.6 (-14.4, 15.6)","VALUE",3,1,20,0,0
"RASH","1 (6.2%)","2 (11.8%)","3 (9.1%)","2 (10.5%)","-4.3 (-22.5, 13.9)","1.2 (-19.4, 21.9)","VALUE",3,1,21,0,0
"RASH ERYTHEMATOUS","0","1 (5.9%)","1 (3.0%)","0","0.0 (0.0, 0.0)","5.9 (-5.3, 17.1)","VALUE",3,1,22,0,0
"RASH MACULO-PAPULAR","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",3,1,23,0,0
"RASH PRURITIC","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",3,1,24,0,0
"SKIN IRRITATION","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",3,1,25,0,0
"URTICARIA","0","1 (5.9%)","1 (3.0%)","0","0.0 (0.0, 0.0)","5.9 (-5.3, 17.1)","VALUE",3,1,26,0,0
"Nervous system disorders","5 (31.2%)","4 (23.5%)","9 (27.3%)","3 (15.8%)","15.5 (-12.6, 43.5)","7.7 (-18.2, 33.7)","VALUE",4,0,26,1,0
"DIZZINESS","2 (12.5%)","4 (23.5%)","6 (18.2%)","0","12.5 (-3.7, 28.7)","23.5 (3.4, 43.7)","VALUE",4,1,27,0,0
"HEADACHE","1 (6.2%)","1 (5.9%)","2 (6.1%)","2 (10.5%)","-4.3 (-22.5, 13.9)","-4.6 (-22.4, 13.1)","VALUE",4,1,28,0,0
"COGNITIVE DISORDER","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",4,1,29,0,0
"PARTIAL SEIZURES WITH SECONDARY GENERALISATION","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",4,1,30,0,0
"STUPOR","0","1 (5.9%)","1 (3.0%)","0","0.0 (0.0, 0.0)","5.9 (-5.3, 17.1)","VALUE",4,1,31,0,0
"TRANSIENT ISCHAEMIC ATTACK","0","1 (5.9%)","1 (3.0%)","0","0.0 (0.0, 0.0)","5.9 (-5.3, 17.1)","VALUE",4,1,32,0,0
"PARKINSON'S DISEASE","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",4,1,33,0,0
"Investigations","4 (25.0%)","1 (5.9%)","5 (15.2%)","3 (15.8%)","9.2 (-17.6, 36.0)","-9.9 (-29.8, 9.9)","VALUE",5,0,33,1,0
"BIOPSY","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",5,1,34,0,0
"BIOPSY PROSTATE","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",5,1,35,0,0
"BLOOD CHOLESTEROL INCREASED","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",5,1,36,0,0
"ELECTROCARDIOGRAM T WAVE INVERSION","1 (6.2%)","0","1 (3.0%)","1 (5.3%)","1.0 (-14.6, 16.5)","-5.3 (-15.3, 4.8)","VALUE",5,1,37,0,0
"WEIGHT DECREASED","0","1 (5.9%)","1 (3.0%)","0","0.0 (0.0, 0.0)","5.9 (-5.3, 17.1)","VALUE",5,1,38,0,0
"BLOOD CREATINE PHOSPHOKINASE INCREASED","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",5,1,39,0,0
"ELECTROCARDIOGRAM ST SEGMENT DEPRESSION","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",5,1,40,0,0
"ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",5,1,41,0,0
"Psychiatric disorders","2 (12.5%)","3 (17.6%)","5 (15.2%)","2 (10.5%)","2.0 (-19.3, 23.3)","7.1 (-15.7, 29.9)","VALUE",6,0,41,1,0
"CONFUSIONAL STATE","0","2 (11.8%)","2 (6.1%)","1 (5.3%)","-5.3 (-15.3, 4.8)","6.5 (-11.8, 24.8)","VALUE",6,1,42,0,0
"DEPRESSED MOOD","0","1 (5.9%)","1 (3.0%)","0","0.0 (0.0, 0.0)","5.9 (-5.3, 17.1)","VALUE",6,1,43,0,0
"HALLUCINATION, VISUAL","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",6,1,44,0,0
"NIGHTMARE","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",6,1,45,0,0
"DISORIENTATION","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",6,1,46,0,0
"Gastrointestinal disorders","2 (12.5%)","2 (11.8%)","4 (12.1%)","2 (10.5%)","2.0 (-19.3, 23.3)","1.2 (-19.4, 21.9)","VALUE",7,0,46,1,0
"NAUSEA","1 (6.2%)","1 (5.9%)","2 (6.1%)","0","6.2 (-5.6, 18.1)","5.9 (-5.3, 17.1)","VALUE",7,1,47,0,0
"VOMITING","1 (6.2%)","1 (5.9%)","2 (6.1%)","0","6.2 (-5.6, 18.1)","5.9 (-5.3, 17.1)","VALUE",7,1,48,0,0
"DIARRHOEA","0","1 (5.9%)","1 (3.0%)","1 (5.3%)","-5.3 (-15.3, 4.8)","0.6 (-14.4, 15.6)","VALUE",7,1,49,0,0
"GLOSSITIS","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",7,1,50,0,0
"Respiratory, thoracic and mediastinal disorders","2 (12.5%)","1 (5.9%)","3 (9.1%)","2 (10.5%)","2.0 (-19.3, 23.3)","-4.6 (-22.4, 13.1)","VALUE",8,0,50,1,0
"ALLERGIC GRANULOMATOUS ANGIITIS","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",8,1,51,0,0
"COUGH","1 (6.2%)","0","1 (3.0%)","1 (5.3%)","1.0 (-14.6, 16.5)","-5.3 (-15.3, 4.8)","VALUE",8,1,52,0,0
"DYSPHONIA","0","1 (5.9%)","1 (3.0%)","0","0.0 (0.0, 0.0)","5.9 (-5.3, 17.1)","VALUE",8,1,53,0,0
"NASAL CONGESTION","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",8,1,54,0,0
"POSTNASAL DRIP","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",8,1,55,0,0
"Cardiac disorders","1 (6.2%)","1 (5.9%)","2 (6.1%)","1 (5.3%)","1.0 (-14.6, 16.5)","0.6 (-14.4, 15.6)","VALUE",9,0,55,1,0
"SINUS BRADYCARDIA","1 (6.2%)","1 (5.9%)","2 (6.1%)","0","6.2 (-5.6, 18.1)","5.9 (-5.3, 17.1)","VALUE",9,1,56,0,0
"PALPITATIONS","0","1 (5.9%)","1 (3.0%)","0","0.0 (0.0, 0.0)","5.9 (-5.3, 17.1)","VALUE",9,1,57,0,0
"SINUS ARRHYTHMIA","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",9,1,58,0,0
"Injury, poisoning and procedural complications","1 (6.2%)","1 (5.9%)","2 (6.1%)","0","6.2 (-5.6, 18.1)","5.9 (-5.3, 17.1)","VALUE",10,0,58,1,0
"EXCORIATION","1 (6.2%)","1 (5.9%)","2 (6.1%)","0","6.2 (-5.6, 18.1)","5.9 (-5.3, 17.1)","VALUE",10,1,59,0,0
"Reproductive system and breast disorders","2 (12.5%)","0","2 (6.1%)","0","12.5 (-3.7, 28.7)","0.0 (0.0, 0.0)","VALUE",11,0,59,1,0
"BENIGN PROSTATIC HYPERPLASIA","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",11,1,60,0,0
"ERECTILE DYSFUNCTION","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",11,1,61,0,0
"Eye disorders","0","1 (5.9%)","1 (3.0%)","1 (5.3%)","-5.3 (-15.3, 4.8)","0.6 (-14.4, 15.6)","VALUE",12,0,61,1,0
"VISION BLURRED","0","1 (5.9%)","1 (3.0%)","0","0.0 (0.0, 0.0)","5.9 (-5.3, 17.1)","VALUE",12,1,62,0,0
"CONJUNCTIVITIS","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",12,1,63,0,0
"Infections and infestations","0","1 (5.9%)","1 (3.0%)","3 (15.8%)","-15.8 (-32.2, 0.6)","-9.9 (-29.8, 9.9)","VALUE",13,0,63,1,0
"NASOPHARYNGITIS","0","1 (5.9%)","1 (3.0%)","0","0.0 (0.0, 0.0)","5.9 (-5.3, 17.1)","VALUE",13,1,64,0,0
"EAR INFECTION","0","0","0","2 (10.5%)","-10.5 (-24.3, 3.3)","-10.5 (-24.3, 3.3)","VALUE",13,1,65,0,0
"INFLUENZA","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",13,1,66,0,0
"Vascular disorders","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",14,0,66,1,0
"WOUND HAEMORRHAGE","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",14,1,67,0,0
"Metabolism and nutrition disorders","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",15,0,67,1,0
"DECREASED APPETITE","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",15,1,68,0,0
"Musculoskeletal and connective tissue disorders","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",16,0,68,1,0
"SHOULDER PAIN","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",16,1,69,0,0
"Age Group: ≥75 years","29","51","80","33","","","VALUE",2,0,0,0,1
""," "," "," "," "," "," ","VALUE",2,0,1,0,0
"Subjects with ≥1 AE","29 (100.0%)","42 (82.4%)","71 (88.8%)","26 (78.8%)","21.2 (7.3, 35.2)","3.6 (-13.9, 21.0)","VALUE",2,0,2,0,0
""," "," "," "," "," "," ","VALUE",2,0,3,0,0
"Skin and subcutaneous tissue disorders","19 (65.5%)","21 (41.2%)","40 (50.0%)","10 (30.3%)","35.2 (11.9, 58.6)","10.9 (-9.8, 31.6)","VALUE",2,0,4,0,0
"PRURITUS","10 (34.5%)","10 (19.6%)","20 (25.0%)","5 (15.2%)","19.3 (-1.9, 40.5)","4.5 (-11.9, 20.8)","VALUE",2,1,5,0,0
"ERYTHEMA","7 (24.1%)","5 (9.8%)","12 (15.0%)","4 (12.1%)","12.0 (-7.1, 31.2)","-2.3 (-16.1, 11.5)","VALUE",2,1,6,0,0
"RASH","4 (13.8%)","7 (13.7%)","11 (13.8%)","1 (3.0%)","10.8 (-3.1, 24.6)","10.7 (-0.4, 21.8)","VALUE",2,1,7,0,0
"HYPERHIDROSIS","5 (17.2%)","3 (5.9%)","8 (10.0%)","1 (3.0%)","14.2 (-0.7, 29.2)","2.9 (-5.9, 11.6)","VALUE",2,1,8,0,0
"SKIN IRRITATION","3 (10.3%)","4 (7.8%)","7 (8.8%)","3 (9.1%)","1.3 (-13.5, 16.1)","-1.2 (-13.5, 11.0)","VALUE",2,1,9,0,0
"BLISTER","1 (3.4%)","2 (3.9%)","3 (3.8%)","0","3.4 (-3.2, 10.1)","3.9 (-1.4, 9.2)","VALUE",2,1,10,0,0
"RASH PRURITIC","1 (3.4%)","1 (2.0%)","2 (2.5%)","0","3.4 (-3.2, 10.1)","2.0 (-1.8, 5.8)","VALUE",2,1,11,0,0
"PRURITUS GENERALISED","1 (3.4%)","0","1 (1.2%)","0","3.4 (-3.2, 10.1)","0.0 (0.0, 0.0)","VALUE",2,1,12,0,0
"URTICARIA","1 (3.4%)","0","1 (1.2%)","0","3.4 (-3.2, 10.1)","0.0 (0.0, 0.0)","VALUE",2,1,13,0,0
"ALOPECIA","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",2,1,14,0,0
