"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows","newpage"
"Respiratory, thoracic and mediastinal disorders","1 (9.1%)","0","1 (5.3%)","0","9.1 (-7.9, 26.1)","0.0 (0.0, 0.0)","VALUE",6,0,15,1,0
"PHARYNGOLARYNGEAL PAIN","1 (9.1%)","0","1 (5.3%)","0","9.1 (-7.9, 26.1)","0.0 (0.0, 0.0)","VALUE",6,1,16,0,0
"Psychiatric disorders","0","0","0","1 (7.1%)","-7.1 (-20.6, 6.3)","-7.1 (-20.6, 6.3)","VALUE",7,0,16,1,0
"IRRITABILITY","0","0","0","1 (7.1%)","-7.1 (-20.6, 6.3)","-7.1 (-20.6, 6.3)","VALUE",7,1,17,0,0
"Renal and urinary disorders","0","0","0","1 (7.1%)","-7.1 (-20.6, 6.3)","-7.1 (-20.6, 6.3)","VALUE",8,0,17,1,0
"DYSURIA","0","0","0","1 (7.1%)","-7.1 (-20.6, 6.3)","-7.1 (-20.6, 6.3)","VALUE",8,1,18,0,0
"Reproductive system and breast disorders","0","0","0","1 (7.1%)","-7.1 (-20.6, 6.3)","-7.1 (-20.6, 6.3)","VALUE",9,0,18,1,0
"ABNORMAL UTERINE BLEEDING","0","0","0","1 (7.1%)","-7.1 (-20.6, 6.3)","-7.1 (-20.6, 6.3)","VALUE",9,1,19,0,0
"Age Group: ≥65 to <75 years","22","26","48","24","","","VALUE",2,0,0,0,1
""," "," "," "," "," "," ","VALUE",2,0,1,0,0
"Subjects with ≥1 AE leading to discontinuation","8 (36.4%)","8 (30.8%)","16 (33.3%)","9 (37.5%)","-1.1 (-29.1, 26.8)","-6.7 (-33.0, 19.5)","VALUE",2,0,2,0,0
""," "," "," "," "," "," ","VALUE",2,0,3,0,0
"General disorders and administration site conditions","4 (18.2%)","3 (11.5%)","7 (14.6%)","0","18.2 (2.1, 34.3)","11.5 (-0.7, 23.8)","VALUE",2,0,4,0,0
"APPLICATION SITE IRRITATION","1 (4.5%)","1 (3.8%)","2 (4.2%)","0","4.5 (-4.2, 13.2)","3.8 (-3.5, 11.2)","VALUE",2,1,5,0,0
"APPLICATION SITE PRURITUS","1 (4.5%)","1 (3.8%)","2 (4.2%)","0","4.5 (-4.2, 13.2)","3.8 (-3.5, 11.2)","VALUE",2,1,6,0,0
"APPLICATION SITE DISCHARGE","1 (4.5%)","0","1 (2.1%)","0","4.5 (-4.2, 13.2)","0.0 (0.0, 0.0)","VALUE",2,1,7,0,0
"APPLICATION SITE ERYTHEMA","0","1 (3.8%)","1 (2.1%)","0","0.0 (0.0, 0.0)","3.8 (-3.5, 11.2)","VALUE",2,1,8,0,0
"OEDEMA PERIPHERAL","1 (4.5%)","0","1 (2.1%)","0","4.5 (-4.2, 13.2)","0.0 (0.0, 0.0)","VALUE",2,1,9,0,0
"SWELLING","0","1 (3.8%)","1 (2.1%)","0","0.0 (0.0, 0.0)","3.8 (-3.5, 11.2)","VALUE",2,1,10,0,0
"Skin and subcutaneous tissue disorders","2 (9.1%)","3 (11.5%)","5 (10.4%)","2 (8.3%)","0.8 (-15.6, 17.1)","3.2 (-13.3, 19.7)","VALUE",3,0,10,1,0
"PRURITUS","2 (9.1%)","0","2 (4.2%)","0","9.1 (-2.9, 21.1)","0.0 (0.0, 0.0)","VALUE",3,1,11,0,0
"HYPERHIDROSIS","0","1 (3.8%)","1 (2.1%)","0","0.0 (0.0, 0.0)","3.8 (-3.5, 11.2)","VALUE",3,1,12,0,0
"PRURITUS GENERALISED","0","1 (3.8%)","1 (2.1%)","0","0.0 (0.0, 0.0)","3.8 (-3.5, 11.2)","VALUE",3,1,13,0,0
"URTICARIA","0","1 (3.8%)","1 (2.1%)","0","0.0 (0.0, 0.0)","3.8 (-3.5, 11.2)","VALUE",3,1,14,0,0
"RASH","0","0","0","2 (8.3%)","-8.3 (-19.4, 2.7)","-8.3 (-19.4, 2.7)","VALUE",3,1,15,0,0
"Nervous system disorders","3 (13.6%)","1 (3.8%)","4 (8.3%)","0","13.6 (-0.7, 28.0)","3.8 (-3.5, 11.2)","VALUE",4,0,15,1,0
"DIZZINESS","2 (9.1%)","1 (3.8%)","3 (6.3%)","0","9.1 (-2.9, 21.1)","3.8 (-3.5, 11.2)","VALUE",4,1,16,0,0
"AMNESIA","1 (4.5%)","0","1 (2.1%)","0","4.5 (-4.2, 13.2)","0.0 (0.0, 0.0)","VALUE",4,1,17,0,0
"Cardiac disorders","0","1 (3.8%)","1 (2.1%)","1 (4.2%)","-4.2 (-12.2, 3.8)","-0.3 (-11.2, 10.6)","VALUE",5,0,17,1,0
"SINUS BRADYCARDIA","0","1 (3.8%)","1 (2.1%)","0","0.0 (0.0, 0.0)","3.8 (-3.5, 11.2)","VALUE",5,1,18,0,0
"BRADYCARDIA","0","0","0","1 (4.2%)","-4.2 (-12.2, 3.8)","-4.2 (-12.2, 3.8)","VALUE",5,1,19,0,0
"Gastrointestinal disorders","1 (4.5%)","0","1 (2.1%)","2 (8.3%)","-3.8 (-17.9, 10.3)","-8.3 (-19.4, 2.7)","VALUE",6,0,19,1,0
"NAUSEA","1 (4.5%)","0","1 (2.1%)","0","4.5 (-4.2, 13.2)","0.0 (0.0, 0.0)","VALUE",6,1,20,0,0
"DIARRHOEA","0","0","0","1 (4.2%)","-4.2 (-12.2, 3.8)","-4.2 (-12.2, 3.8)","VALUE",6,1,21,0,0
"FLATULENCE","0","0","0","1 (4.2%)","-4.2 (-12.2, 3.8)","-4.2 (-12.2, 3.8)","VALUE",6,1,22,0,0
"Injury, poisoning and procedural complications","1 (4.5%)","0","1 (2.1%)","0","4.5 (-4.2, 13.2)","0.0 (0.0, 0.0)","VALUE",7,0,22,1,0
"HIP FRACTURE","1 (4.5%)","0","1 (2.1%)","0","4.5 (-4.2, 13.2)","0.0 (0.0, 0.0)","VALUE",7,1,23,0,0
"Investigations","0","1 (3.8%)","1 (2.1%)","1 (4.2%)","-4.2 (-12.2, 3.8)","-0.3 (-11.2, 10.6)","VALUE",8,0,23,1,0
"WEIGHT DECREASED","0","1 (3.8%)","1 (2.1%)","0","0.0 (0.0, 0.0)","3.8 (-3.5, 11.2)","VALUE",8,1,24,0,0
"ELECTROCARDIOGRAM T WAVE INVERSION","0","0","0","1 (4.2%)","-4.2 (-12.2, 3.8)","-4.2 (-12.2, 3.8)","VALUE",8,1,25,0,0
"Infections and infestations","0","0","0","1 (4.2%)","-4.2 (-12.2, 3.8)","-4.2 (-12.2, 3.8)","VALUE",9,0,25,1,0
"INFLUENZA","0","0","0","1 (4.2%)","-4.2 (-12.2, 3.8)","-4.2 (-12.2, 3.8)","VALUE",9,1,26,0,0
"Musculoskeletal and connective tissue disorders","0","0","0","1 (4.2%)","-4.2 (-12.2, 3.8)","-4.2 (-12.2, 3.8)","VALUE",10,0,26,1,0
"SHOULDER PAIN","0","0","0","1 (4.2%)","-4.2 (-12.2, 3.8)","-4.2 (-12.2, 3.8)","VALUE",10,1,27,0,0
"Psychiatric disorders","0","0","0","1 (4.2%)","-4.2 (-12.2, 3.8)","-4.2 (-12.2, 3.8)","VALUE",11,0,27,1,0
"DISORIENTATION","0","0","0","1 (4.2%)","-4.2 (-12.2, 3.8)","-4.2 (-12.2, 3.8)","VALUE",11,1,28,0,0
"Renal and urinary disorders","0","0","0","1 (4.2%)","-4.2 (-12.2, 3.8)","-4.2 (-12.2, 3.8)","VALUE",12,0,28,1,0
"POLLAKIURIA","0","0","0","1 (4.2%)","-4.2 (-12.2, 3.8)","-4.2 (-12.2, 3.8)","VALUE",12,1,29,0,0
"Respiratory, thoracic and mediastinal disorders","0","0","0","1 (4.2%)","-4.2 (-12.2, 3.8)","-4.2 (-12.2, 3.8)","VALUE",13,0,29,1,0
"POSTNASAL DRIP","0","0","0","1 (4.2%)","-4.2 (-12.2, 3.8)","-4.2 (-12.2, 3.8)","VALUE",13,1,30,0,0
"Age Group: ≥75 years","39","62","101","48","","","VALUE",2,0,0,0,1
""," "," "," "," "," "," ","VALUE",2,0,1,0,0
"Subjects with ≥1 AE leading to discontinuation","19 (48.7%)","23 (37.1%)","42 (41.6%)","16 (33.3%)","15.4 (-5.2, 36.0)","3.8 (-14.2, 21.7)","VALUE",2,0,2,0,0
""," "," "," "," "," "," ","VALUE",2,0,3,0,0
"Skin and subcutaneous tissue disorders","7 (17.9%)","9 (14.5%)","16 (15.8%)","5 (10.4%)","7.5 (-7.3, 22.4)","4.1 (-8.2, 16.4)","VALUE",2,0,4,0,0
"PRURITUS","3 (7.7%)","5 (8.1%)","8 (7.9%)","2 (4.2%)","3.5 (-6.6, 13.6)","3.9 (-4.9, 12.7)","VALUE",2,1,5,0,0
"HYPERHIDROSIS","2 (5.1%)","2 (3.2%)","4 (4.0%)","1 (2.1%)","3.0 (-5.0, 11.1)","1.1 (-4.8, 7.1)","VALUE",2,1,6,0,0
"SKIN IRRITATION","1 (2.6%)","2 (3.2%)","3 (3.0%)","0","2.6 (-2.4, 7.5)","3.2 (-1.2, 7.6)","VALUE",2,1,7,0,0
"RASH","2 (5.1%)","0","2 (2.0%)","0","5.1 (-1.8, 12.1)","0.0 (0.0, 0.0)","VALUE",2,1,8,0,0
"ERYTHEMA","1 (2.6%)","0","1 (1.0%)","2 (4.2%)","-1.6 (-9.1, 5.9)","-4.2 (-9.8, 1.5)","VALUE",2,1,9,0,0
"RASH PRURITIC","0","1 (1.6%)","1 (1.0%)","0","0.0 (0.0, 0.0)","1.6 (-1.5, 4.7)","VALUE",2,1,10,0,0
"General disorders and administration site conditions","4 (10.3%)","8 (12.9%)","12 (11.9%)","1 (2.1%)","8.2 (-2.2, 18.5)","10.8 (1.5, 20.1)","VALUE",3,0,10,1,0
"APPLICATION SITE PRURITUS","1 (2.6%)","3 (4.8%)","4 (4.0%)","0","2.6 (-2.4, 7.5)","4.8 (-0.5, 10.2)","VALUE",3,1,11,0,0
"APPLICATION SITE DERMATITIS","1 (2.6%)","2 (3.2%)","3 (3.0%)","0","2.6 (-2.4, 7.5)","3.2 (-1.2, 7.6)","VALUE",3,1,12,0,0
"APPLICATION SITE ERYTHEMA","2 (5.1%)","1 (1.6%)","3 (3.0%)","0","5.1 (-1.8, 12.1)","1.6 (-1.5, 4.7)","VALUE",3,1,13,0,0
"APPLICATION SITE VESICLES","1 (2.6%)","1 (1.6%)","2 (2.0%)","0","2.6 (-2.4, 7.5)","1.6 (-1.5, 4.7)","VALUE",3,1,14,0,0
"APPLICATION SITE IRRITATION","0","1 (1.6%)","1 (1.0%)","1 (2.1%)","-2.1 (-6.1, 2.0)","-0.5 (-5.6, 4.6)","VALUE",3,1,15,0,0
"SECRETION DISCHARGE","0","1 (1.6%)","1 (1.0%)","0","0.0 (0.0, 0.0)","1.6 (-1.5, 4.7)","VALUE",3,1,16,0,0
"Nervous system disorders","4 (10.3%)","4 (6.5%)","8 (7.9%)","0","10.3 (0.7, 19.8)","6.5 (0.3, 12.6)","VALUE",4,0,16,1,0
"DIZZINESS","1 (2.6%)","1 (1.6%)","2 (2.0%)","0","2.6 (-2.4, 7.5)","1.6 (-1.5, 4.7)","VALUE",4,1,17,0,0
"HEADACHE","2 (5.1%)","0","2 (2.0%)","0","5.1 (-1.8, 12.1)","0.0 (0.0, 0.0)","VALUE",4,1,18,0,0
"SOMNOLENCE","0","2 (3.2%)","2 (2.0%)","0","0.0 (0.0, 0.0)","3.2 (-1.2, 7.6)","VALUE",4,1,19,0,0
"HEMIANOPIA HOMONYMOUS","0","1 (1.6%)","1 (1.0%)","0","0.0 (0.0, 0.0)","1.6 (-1.5, 4.7)","VALUE",4,1,20,0,0
"TRANSIENT ISCHAEMIC ATTACK","1 (2.6%)","0","1 (1.0%)","0","2.6 (-2.4, 7.5)","0.0 (0.0, 0.0)","VALUE",4,1,21,0,0
"Cardiac disorders","4 (10.3%)","2 (3.2%)","6 (5.9%)","3 (6.3%)","4.0 (-7.7, 15.7)","-3.0 (-11.2, 5.1)","VALUE",5,0,21,1,0
"SINUS BRADYCARDIA","2 (5.1%)","1 (1.6%)","3 (3.0%)","1 (2.1%)","3.0 (-5.0, 11.1)","-0.5 (-5.6, 4.6)","VALUE",5,1,22,0,0
"ATRIAL FIBRILLATION","0","1 (1.6%)","1 (1.0%)","0","0.0 (0.0, 0.0)","1.6 (-1.5, 4.7)","VALUE",5,1,23,0,0
"CARDIAC DISORDER","1 (2.6%)","0","1 (1.0%)","0","2.6 (-2.4, 7.5)","0.0 (0.0, 0.0)","VALUE",5,1,24,0,0
"SUPRAVENTRICULAR EXTRASYSTOLES","1 (2.6%)","0","1 (1.0%)","0","2.6 (-2.4, 7.5)","0.0 (0.0, 0.0)","VALUE",5,1,25,0,0
"MYOCARDIAL INFARCTION","0","0","0","1 (2.1%)","-2.1 (-6.1, 2.0)","-2.1 (-6.1, 2.0)","VALUE",5,1,26,0,0
"VENTRICULAR HYPERTROPHY","0","0","0","1 (2.1%)","-2.1 (-6.1, 2.0)","-2.1 (-6.1, 2.0)","VALUE",5,1,27,0,0
"Psychiatric disorders","2 (5.1%)","2 (3.2%)","4 (4.0%)","2 (4.2%)","1.0 (-8.0, 9.9)","-0.9 (-8.1, 6.2)","VALUE",6,0,27,1,0
"ANXIETY","0","1 (1.6%)","1 (1.0%)","0","0.0 (0.0, 0.0)","1.6 (-1.5, 4.7)","VALUE",6,1,28,0,0
"DELUSION","1 (2.6%)","0","1 (1.0%)","0","2.6 (-2.4, 7.5)","0.0 (0.0, 0.0)","VALUE",6,1,29,0,0
"INSOMNIA","1 (2.6%)","0","1 (1.0%)","0","2.6 (-2.4, 7.5)","0.0 (0.0, 0.0)","VALUE",6,1,30,0,0
"RESTLESSNESS","0","1 (1.6%)","1 (1.0%)","0","0.0 (0.0, 0.0)","1.6 (-1.5, 4.7)","VALUE",6,1,31,0,0
"CONFUSIONAL STATE","0","0","0","1 (2.1%)","-2.1 (-6.1, 2.0)","-2.1 (-6.1, 2.0)","VALUE",6,1,32,0,0
"DISTURBANCE IN SEXUAL AROUSAL","0","0","0","1 (2.1%)","-2.1 (-6.1, 2.0)","-2.1 (-6.1, 2.0)","VALUE",6,1,33,0,0
"Gastrointestinal disorders","1 (2.6%)","2 (3.2%)","3 (3.0%)","1 (2.1%)","0.5 (-5.9, 6.9)","1.1 (-4.8, 7.1)","VALUE",7,0,33,1,0
"GASTROINTESTINAL HAEMORRHAGE","1 (2.6%)","0","1 (1.0%)","0","2.6 (-2.4, 7.5)","0.0 (0.0, 0.0)","VALUE",7,1,34,0,0
"NAUSEA","0","1 (1.6%)","1 (1.0%)","0","0.0 (0.0, 0.0)","1.6 (-1.5, 4.7)","VALUE",7,1,35,0,0
"VOMITING","0","1 (1.6%)","1 (1.0%)","1 (2.1%)","-2.1 (-6.1, 2.0)","-0.5 (-5.6, 4.6)","VALUE",7,1,36,0,0
"Respiratory, thoracic and mediastinal disorders","1 (2.6%)","2 (3.2%)","3 (3.0%)","0","2.6 (-2.4, 7.5)","3.2 (-1.2, 7.6)","VALUE",8,0,36,1,0
"COUGH","1 (2.6%)","0","1 (1.0%)","0","2.6 (-2.4, 7.5)","0.0 (0.0, 0.0)","VALUE",8,1,37,0,0
"DYSPNOEA","0","1 (1.6%)","1 (1.0%)","0","0.0 (0.0, 0.0)","1.6 (-1.5, 4.7)","VALUE",8,1,38,0,0
"EPISTAXIS","0","1 (1.6%)","1 (1.0%)","0","0.0 (0.0, 0.0)","1.6 (-1.5, 4.7)","VALUE",8,1,39,0,0
"Injury, poisoning and procedural complications","1 (2.6%)","1 (1.6%)","2 (2.0%)","0","2.6 (-2.4, 7.5)","1.6 (-1.5, 4.7)","VALUE",9,0,39,1,0
"FALL","1 (2.6%)","0","1 (1.0%)","0","2.6 (-2.4, 7.5)","0.0 (0.0, 0.0)","VALUE",9,1,40,0,0
"JOINT DISLOCATION","0","1 (1.6%)","1 (1.0%)","0","0.0 (0.0, 0.0)","1.6 (-1.5, 4.7)","VALUE",9,1,41,0,0
"Investigations","0","2 (3.2%)","2 (2.0%)","1 (2.1%)","-2.1 (-6.1, 2.0)","1.1 (-4.8, 7.1)","VALUE",10,0,41,1,0
"BLOOD GLUCOSE INCREASED","0","1 (1.6%)","1 (1.0%)","0","0.0 (0.0, 0.0)","1.6 (-1.5, 4.7)","VALUE",10,1,42,0,0
"ELECTROCARDIOGRAM T WAVE INVERSION","0","1 (1.6%)","1 (1.0%)","0","0.0 (0.0, 0.0)","1.6 (-1.5, 4.7)","VALUE",10,1,43,0,0
"BLOOD URINE PRESENT","0","0","0","1 (2.1%)","-2.1 (-6.1, 2.0)","-2.1 (-6.1, 2.0)","VALUE",10,1,44,0,0
"Musculoskeletal and connective tissue disorders","1 (2.6%)","1 (1.6%)","2 (2.0%)","1 (2.1%)","0.5 (-5.9, 6.9)","-0.5 (-5.6, 4.6)","VALUE",11,0,44,1,0
"MUSCLE SPASMS","1 (2.6%)","0","1 (1.0%)","0","2.6 (-2.4, 7.5)","0.0 (0.0, 0.0)","VALUE",11,1,45,0,0
"MUSCULAR WEAKNESS","0","1 (1.6%)","1 (1.0%)","0","0.0 (0.0, 0.0)","1.6 (-1.5, 4.7)","VALUE",11,1,46,0,0
"BACK PAIN","0","0","0","1 (2.1%)","-2.1 (-6.1, 2.0)","-2.1 (-6.1, 2.0)","VALUE",11,1,47,0,0
"Infections and infestations","0","1 (1.6%)","1 (1.0%)","1 (2.1%)","-2.1 (-6.1, 2.0)","-0.5 (-5.6, 4.6)","VALUE",12,0,47,1,0
"INFLUENZA","0","1 (1.6%)","1 (1.0%)","0","0.0 (0.0, 0.0)","1.6 (-1.5, 4.7)","VALUE",12,1,48,0,0
"NASOPHARYNGITIS","0","0","0","1 (2.1%)","-2.1 (-6.1, 2.0)","-2.1 (-6.1, 2.0)","VALUE",12,1,49,0,0
"Surgical and medical procedures","0","0","0","1 (2.1%)","-2.1 (-6.1, 2.0)","-2.1 (-6.1, 2.0)","VALUE",13,0,49,1,0
"EYE LASER SURGERY","0","0","0","1 (2.1%)","-2.1 (-6.1, 2.0)","-2.1 (-6.1, 2.0)","VALUE",13,1,50,0,0
"Vascular disorders","0","0","0","1 (2.1%)","-2.1 (-6.1, 2.0)","-2.1 (-6.1, 2.0)","VALUE",14,0,50,1,0
"HYPERTENSION","0","0","0","1 (2.1%)","-2.1 (-6.1, 2.0)","-2.1 (-6.1, 2.0)","VALUE",14,1,51,0,0
