"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows","newpage"
"Respiratory, thoracic and mediastinal disorders","1 (6.2%)","1 (5.9%)","2 (6.1%)","1 (5.3%)","1.0 (-14.6, 16.5)","0.6 (-14.4, 15.6)","VALUE",3,0,7,1,0
"DYSPHONIA","0","1 (5.9%)","1 (3.0%)","0","0.0 (0.0, 0.0)","5.9 (-5.3, 17.1)","VALUE",3,1,8,0,0
"NASAL CONGESTION","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",3,1,9,0,0
"COUGH","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",3,1,10,0,0
"Psychiatric disorders","1 (6.2%)","0","1 (3.0%)","1 (5.3%)","1.0 (-14.6, 16.5)","-5.3 (-15.3, 4.8)","VALUE",4,0,10,1,0
"NIGHTMARE","1 (6.2%)","0","1 (3.0%)","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",4,1,11,0,0
"DISORIENTATION","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",4,1,12,0,0
"Eye disorders","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",5,0,12,1,0
"CONJUNCTIVITIS","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",5,1,13,0,0
"Investigations","0","0","0","2 (10.5%)","-10.5 (-24.3, 3.3)","-10.5 (-24.3, 3.3)","VALUE",6,0,13,1,0
"ELECTROCARDIOGRAM ST SEGMENT DEPRESSION","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",6,1,14,0,0
"ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",6,1,15,0,0
"ELECTROCARDIOGRAM T WAVE INVERSION","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",6,1,16,0,0
"Skin and subcutaneous tissue disorders","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",7,0,16,1,0
"RASH","0","0","0","1 (5.3%)","-5.3 (-15.3, 4.8)","-5.3 (-15.3, 4.8)","VALUE",7,1,17,0,0
"Age Group: ≥75 years","29","51","80","33","","","VALUE",2,0,0,0,1
""," "," "," "," "," "," ","VALUE",2,0,1,0,0
"Subjects with ≥1 related AE","11 (37.9%)","16 (31.4%)","27 (33.8%)","13 (39.4%)","-1.5 (-25.7, 22.8)","-8.0 (-29.0, 13.0)","VALUE",2,0,2,0,0
""," "," "," "," "," "," ","VALUE",2,0,3,0,0
"Nervous system disorders","5 (17.2%)","5 (9.8%)","10 (12.5%)","1 (3.0%)","14.2 (-0.7, 29.2)","6.8 (-3.3, 16.8)","VALUE",2,0,4,0,0
"DIZZINESS","3 (10.3%)","2 (3.9%)","5 (6.2%)","0","10.3 (-0.7, 21.4)","3.9 (-1.4, 9.2)","VALUE",2,1,5,0,0
"HEADACHE","2 (6.9%)","1 (2.0%)","3 (3.8%)","0","6.9 (-2.3, 16.1)","2.0 (-1.8, 5.8)","VALUE",2,1,6,0,0
"SOMNOLENCE","1 (3.4%)","1 (2.0%)","2 (2.5%)","0","3.4 (-3.2, 10.1)","2.0 (-1.8, 5.8)","VALUE",2,1,7,0,0
"TRANSIENT ISCHAEMIC ATTACK","0","1 (2.0%)","1 (1.2%)","0","0.0 (0.0, 0.0)","2.0 (-1.8, 5.8)","VALUE",2,1,8,0,0
"PSYCHOMOTOR HYPERACTIVITY","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",2,1,9,0,0
"Gastrointestinal disorders","4 (13.8%)","2 (3.9%)","6 (7.5%)","2 (6.1%)","7.7 (-7.2, 22.7)","-2.1 (-11.9, 7.6)","VALUE",3,0,9,1,0
"DIARRHOEA","1 (3.4%)","1 (2.0%)","2 (2.5%)","1 (3.0%)","0.4 (-8.4, 9.3)","-1.1 (-8.0, 5.9)","VALUE",3,1,10,0,0
"NAUSEA","2 (6.9%)","0","2 (2.5%)","0","6.9 (-2.3, 16.1)","0.0 (0.0, 0.0)","VALUE",3,1,11,0,0
"VOMITING","2 (6.9%)","0","2 (2.5%)","0","6.9 (-2.3, 16.1)","0.0 (0.0, 0.0)","VALUE",3,1,12,0,0
"ABDOMINAL DISCOMFORT","1 (3.4%)","0","1 (1.2%)","0","3.4 (-3.2, 10.1)","0.0 (0.0, 0.0)","VALUE",3,1,13,0,0
"ABDOMINAL PAIN","0","1 (2.0%)","1 (1.2%)","1 (3.0%)","-3.0 (-8.9, 2.8)","-1.1 (-8.0, 5.9)","VALUE",3,1,14,0,0
"CONSTIPATION","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",3,1,15,0,0
"General disorders and administration site conditions","2 (6.9%)","4 (7.8%)","6 (7.5%)","1 (3.0%)","3.9 (-7.1, 14.8)","4.8 (-4.6, 14.2)","VALUE",4,0,15,1,0
"FATIGUE","0","2 (3.9%)","2 (2.5%)","0","0.0 (0.0, 0.0)","3.9 (-1.4, 9.2)","VALUE",4,1,16,0,0
"ASTHENIA","0","1 (2.0%)","1 (1.2%)","0","0.0 (0.0, 0.0)","2.0 (-1.8, 5.8)","VALUE",4,1,17,0,0
"CHEST PAIN","1 (3.4%)","0","1 (1.2%)","0","3.4 (-3.2, 10.1)","0.0 (0.0, 0.0)","VALUE",4,1,18,0,0
"CHILLS","1 (3.4%)","0","1 (1.2%)","0","3.4 (-3.2, 10.1)","0.0 (0.0, 0.0)","VALUE",4,1,19,0,0
"OEDEMA PERIPHERAL","0","1 (2.0%)","1 (1.2%)","1 (3.0%)","-3.0 (-8.9, 2.8)","-1.1 (-8.0, 5.9)","VALUE",4,1,20,0,0
"Cardiac disorders","2 (6.9%)","2 (3.9%)","4 (5.0%)","3 (9.1%)","-2.2 (-15.7, 11.3)","-5.2 (-16.3, 6.0)","VALUE",5,0,20,1,0
"SINUS BRADYCARDIA","2 (6.9%)","0","2 (2.5%)","0","6.9 (-2.3, 16.1)","0.0 (0.0, 0.0)","VALUE",5,1,21,0,0
"PALPITATIONS","0","1 (2.0%)","1 (1.2%)","0","0.0 (0.0, 0.0)","2.0 (-1.8, 5.8)","VALUE",5,1,22,0,0
"VENTRICULAR EXTRASYSTOLES","0","1 (2.0%)","1 (1.2%)","0","0.0 (0.0, 0.0)","2.0 (-1.8, 5.8)","VALUE",5,1,23,0,0
"BUNDLE BRANCH BLOCK RIGHT","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",5,1,24,0,0
"MYOCARDIAL INFARCTION","0","0","0","2 (6.1%)","-6.1 (-14.2, 2.1)","-6.1 (-14.2, 2.1)","VALUE",5,1,25,0,0
"SUPRAVENTRICULAR EXTRASYSTOLES","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",5,1,26,0,0
"TACHYCARDIA","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",5,1,27,0,0
"Eye disorders","0","1 (2.0%)","1 (1.2%)","1 (3.0%)","-3.0 (-8.9, 2.8)","-1.1 (-8.0, 5.9)","VALUE",6,0,27,1,0
"CONJUNCTIVAL HAEMORRHAGE","0","1 (2.0%)","1 (1.2%)","0","0.0 (0.0, 0.0)","2.0 (-1.8, 5.8)","VALUE",6,1,28,0,0
"EYE PRURITUS","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",6,1,29,0,0
"Injury, poisoning and procedural complications","0","1 (2.0%)","1 (1.2%)","0","0.0 (0.0, 0.0)","2.0 (-1.8, 5.8)","VALUE",7,0,29,1,0
"CONTUSION","0","1 (2.0%)","1 (1.2%)","0","0.0 (0.0, 0.0)","2.0 (-1.8, 5.8)","VALUE",7,1,30,0,0
"FALL","0","1 (2.0%)","1 (1.2%)","0","0.0 (0.0, 0.0)","2.0 (-1.8, 5.8)","VALUE",7,1,31,0,0
"Investigations","0","1 (2.0%)","1 (1.2%)","1 (3.0%)","-3.0 (-8.9, 2.8)","-1.1 (-8.0, 5.9)","VALUE",8,0,31,1,0
"ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED","0","1 (2.0%)","1 (1.2%)","0","0.0 (0.0, 0.0)","2.0 (-1.8, 5.8)","VALUE",8,1,32,0,0
"ELECTROCARDIOGRAM ST SEGMENT DEPRESSION","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",8,1,33,0,0
"ELECTROCARDIOGRAM T WAVE INVERSION","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",8,1,34,0,0
"Metabolism and nutrition disorders","1 (3.4%)","0","1 (1.2%)","0","3.4 (-3.2, 10.1)","0.0 (0.0, 0.0)","VALUE",9,0,34,1,0
"INCREASED APPETITE","1 (3.4%)","0","1 (1.2%)","0","3.4 (-3.2, 10.1)","0.0 (0.0, 0.0)","VALUE",9,1,35,0,0
"Musculoskeletal and connective tissue disorders","1 (3.4%)","0","1 (1.2%)","0","3.4 (-3.2, 10.1)","0.0 (0.0, 0.0)","VALUE",10,0,35,1,0
"BACK PAIN","1 (3.4%)","0","1 (1.2%)","0","3.4 (-3.2, 10.1)","0.0 (0.0, 0.0)","VALUE",10,1,36,0,0
"Psychiatric disorders","1 (3.4%)","0","1 (1.2%)","4 (12.1%)","-8.7 (-21.6, 4.3)","-12.1 (-23.3, -1.0)","VALUE",11,0,36,1,0
"CONFUSIONAL STATE","1 (3.4%)","0","1 (1.2%)","1 (3.0%)","0.4 (-8.4, 9.3)","-3.0 (-8.9, 2.8)","VALUE",11,1,37,0,0
"AGITATION","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",11,1,38,0,0
"DELUSION","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",11,1,39,0,0
"DISTURBANCE IN SEXUAL AROUSAL","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",11,1,40,0,0
"Renal and urinary disorders","0","1 (2.0%)","1 (1.2%)","0","0.0 (0.0, 0.0)","2.0 (-1.8, 5.8)","VALUE",12,0,40,1,0
"DYSURIA","0","1 (2.0%)","1 (1.2%)","0","0.0 (0.0, 0.0)","2.0 (-1.8, 5.8)","VALUE",12,1,41,0,0
"Respiratory, thoracic and mediastinal disorders","0","1 (2.0%)","1 (1.2%)","1 (3.0%)","-3.0 (-8.9, 2.8)","-1.1 (-8.0, 5.9)","VALUE",13,0,41,1,0
"COUGH","0","1 (2.0%)","1 (1.2%)","0","0.0 (0.0, 0.0)","2.0 (-1.8, 5.8)","VALUE",13,1,42,0,0
"RHINORRHOEA","0","1 (2.0%)","1 (1.2%)","0","0.0 (0.0, 0.0)","2.0 (-1.8, 5.8)","VALUE",13,1,43,0,0
"NASAL CONGESTION","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",13,1,44,0,0
"Endocrine disorders","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",14,0,44,1,0
"BLEEDING ANOVULATORY","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",14,1,45,0,0
"Infections and infestations","0","0","0","3 (9.1%)","-9.1 (-18.9, 0.7)","-9.1 (-18.9, 0.7)","VALUE",15,0,45,1,0
"UPPER RESPIRATORY TRACT INFECTION","0","0","0","3 (9.1%)","-9.1 (-18.9, 0.7)","-9.1 (-18.9, 0.7)","VALUE",15,1,46,0,0
"Skin and subcutaneous tissue disorders","0","0","0","3 (9.1%)","-9.1 (-18.9, 0.7)","-9.1 (-18.9, 0.7)","VALUE",16,0,46,1,0
"ALOPECIA","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",16,1,47,0,0
"HYPERHIDROSIS","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",16,1,48,0,0
"PRURITUS","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",16,1,49,0,0
"Vascular disorders","0","0","0","2 (6.1%)","-6.1 (-14.2, 2.1)","-6.1 (-14.2, 2.1)","VALUE",17,0,49,1,0
"HYPERTENSION","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",17,1,50,0,0
"HYPOTENSION","0","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",17,1,51,0,0
