"TABLE ID","IDENTIFIER","TEXT"
"LSIDEV02","TITLE","Listing of Subjects Who Received Incorrect Treatment or Dose by Region and Center; Full Analysis Set (Study jjcs - core)"
"LSIDEV02","FOOTNOTE1","~{super a} Study day is relative to [the start of [study treatment]]."
"TSIDEM01","TITLE","Demographics and Baseline Characteristics; Full Analysis Set (Study jjcs - core)"
"TSIDEM02","TITLE","Subjects by Region, Country/Territory, and Site; Full Analysis Set (Study jjcs - core)"
"LSIDEM01","TITLE","Listing of Demographics and Baseline Characteristics; Full Analysis Set (Study jjcs - core)"
"LSIDEM02","TITLE","Randomization Listing; Randomized Analysis Set (Study jjcs - core)"
"TSIMH01","TITLE","[Medical History/Medical History of Interest] by System Organ Class and Preferred Term; Full Analysis Set (Study jjcs - core)"
"TSIMH01","FOOTNOTE1","Note: Medical history is coded using MedDRA version 26.0."
"LSIMH01","TITLE","Listing of [Medical History/Medical History of Interest]; Full Analysis Set (Study jjcs - core)"
"LSIMH01","FOOTNOTE1","~{super a} Study day is relative to [the start of [study treatment]]."
"LSIMH01","FOOTNOTE2","Note: Medical history is coded using MedDRA version 26.0."
"LSIMH01","FOOTNOTE3","Note: Medical history is evaluated according to the NCI-CTCAE version &ctcae.."
"TSICM01","TITLE","Concomitant Medications; Safety Analysis Set (Study jjcs - core)"
"TSICM01","FOOTNOTE1","Note: Concomitant medications are defined as any therapy used on or after the same day as the first dose of study treatment ~{optional [up to last dose of study treatment +xx days]}, including those that started before and continue on after the first dose of study treatment."
"TSICM02","TITLE","Concomitant Medications; Safety Analysis Set (Study jjcs - core)"
"TSICM02","FOOTNOTE1","Note: Concomitant medications are defined as any therapy used on or after the same day as the first dose of study treatment ~{optional [up to last dose of study treatment +xx days]}, including those that started before and continue on after the first dose of study treatment."
"TSICM03","TITLE","Concomitant Medications Received by =[xx]% of Subjects; Safety Analysis Set (Study jjcs - core)"
"TSICM03","FOOTNOTE1","Note: Concomitant medications are defined as any therapy used on or after the same day as the first dose of study treatment ~{optional [up to last dose of study treatment +xx days]}, including those that started before and continue on after the first dose of study treatment."
"TSICM04","TITLE","Concomitant Medications Received by =[xx]% of Subjects; Safety Analysis Set (Study jjcs - core)"
"TSICM04","FOOTNOTE1","Note: Concomitant medications are defined as any therapy used on or after the same day as the first dose of study treatment ~{optional [up to last dose of study treatment +xx days]}, including those that started before and continue on after the first dose of study treatment."
"TSICM05","TITLE","Prior Medications; Safety Analysis Set (Study jjcs - core)"
"TSICM05","FOOTNOTE1","Note: Prior medications are defined as any therapy used before the day of first dose (partial or complete) of study treatment."
"TSICM06","TITLE","Prior Medications; Safety Analysis Set (Study jjcs - core)"
"TSICM06","FOOTNOTE1","Note: Prior medications are defined as any therapy used before the day of first dose (partial or complete) of study treatment."
"TSICM07","TITLE","Concomitant Medications of Interest; Safety Analysis Set (Study jjcs - core)"
"TSICM07","FOOTNOTE1","Note: Concomitant medications are defined as any therapy used on or after the same day as the first dose of study treatment ~{optional [up to last dose of study treatment +xx days]}, including those that started before and continue on after the first dose of study treatment."
"TSICM08","TITLE","Concomitant Medications of Interest; Safety Analysis Set (Study jjcs - core)"
"TSICM08","FOOTNOTE1","Note: Concomitant medications are defined as any therapy used on or after the same day as the first dose of study treatment ~{optional [up to last dose of study treatment +xx days]}, including those that started before and continue on after the first dose of study treatment."
"LSICM01","TITLE","Listing of Medications; Safety Analysis Set (Study jjcs - core)"
"LSICM01","FOOTNOTE1","Key: P=Prior, C=Concomitant~{optional , F=Follow-up}"
"LSICM01","FOOTNOTE2","~{super a} Study day is relative to [the start of [study treatment]]."
"TSIEX01","TITLE","Duration of Treatment; Safety Analysis Set (Study jjcs - core)"
"TSIEX01","FOOTNOTE1","~{super a} Duration of treatment is defined as [(date of last dose of study treatment – date of first dose of study treatment) +1]."
"TSIEX01","FOOTNOTE2","~{super b} Subjects are summarized in all applicable duration categories."
"TSIEX02","TITLE","Study Treatment Administration; Safety Analysis Set (Study jjcs - core)"
"TSIEX02","FOOTNOTE1","~{super a} Total dosing days of treatment is defined as the total number of days study treatment received – number of days off study treatment."
"TSIEX03","TITLE","Study Treatment Administration; Safety Analysis Set (Study jjcs - core)"
"TSIEX03","FOOTNOTE1","~{super a} Subjects are summarized in all applicable duration categories."
"TSIEX04","TITLE","Number of Cycles Received; Safety Analysis Set (Study jjcs - core)"
"TSIEX04","FOOTNOTE1","~{super a} Subjects are summarized in all applicable cycle categories."
"TSIEX06","TITLE","Subjects Who Received Study Treatment Over Time; Safety Analysis Set (Study jjcs - core)"
"TSIEX07","TITLE","Dose Levels Over Time; Safety Analysis Set (Study jjcs - core)"
"TSIEX08","TITLE","Incidence and Reason for Dose Modification; Safety Analysis Set (Study jjcs - core)"
"TSIEX08","FOOTNOTE1","Note: Percentages are based on the number of subjects who had a visit at the specified time point."
"TSIEX08","FOOTNOTE2","Note: Subjects may be counted in more than one category."
"TSIEX09","TITLE","Distribution of Subjects by Study Treatment Lot; Safety Analysis Set (Study jjcs - core)"
"TSIEX09","FOOTNOTE1","Note: Subjects may be counted in multiple lots, if applicable."
"TSIEX10","TITLE","Study Treatment Compliance; Safety Analysis Set (Study jjcs - core)"
"TSIEX10","FOOTNOTE1","~{super a} Compliance is calculated as (actual number of [tablets taken]/total number of [tablets supposed to be taken]) x100 / number of days taking study treatment/total treatment duration~{optional  [(including days off study treatment)] }x100 / (amount dispensed-amount returned)/amount dispensed x100]."
"TSIEX11","TITLE","Incidence and Reason for Treatment Modification for Infusions; Safety Analysis Set (Study jjcs - core)"
"TSIEX11","FOOTNOTE1","Note: For ‘Overall’, subjects can only be counted once in each category."
"TSIEX11","FOOTNOTE2","Note: Includes subjects who had any dose modifications during treatment."
"GSIEX01","TITLE","Duration of Treatment; Safety Analysis Set (Study jjcs - core)"
"LSIEX01","TITLE","Listing of Study Treatment Administration; Safety Analysis Set (Study jjcs - core)"
"LSIEX01","FOOTNOTE1","~{super a} Study day is relative to [the start of [study treatment]]."
"LSIEX02","TITLE","Listing of Study Treatment Batch Lot Number; Safety Analysis Set (Study jjcs - core)"
"LSIEX03","TITLE","Listing of Study Treatment Administration for Infusions; Safety Analysis Set (Study jjcs - core)"
"LSIEX03","FOOTNOTE1","~{super a} Study day is relative to [the start of [study treatment]]."
"TSFAE01a","TITLE","Overall Summary of Subjects With Treatment-emergent Adverse Events; Safety Analysis Set (Study jjcs - core)"
"TSFAE01a","FOOTNOTE1","~{super a} Dose modifications as collected on the AE CRF are presented. Subjects may be counted once for each modification type."
"TSFAE01a","FOOTNOTE2","~{super b} The event experienced by the subject with the worst severity is used."
"TSFAE01b","TITLE","Overall Summary of Subjects With Treatment-emergent Adverse Events; Safety Analysis Set (Study jjcs - core)"
"TSFAE01b","FOOTNOTE1","~{super a} Dose modifications as collected on the AE CRF are presented. Subjects may be counted once for each modification type."
"TSFAE01b","FOOTNOTE2","~{super b} The event experienced by the subject with the worst toxicity is used. Toxicity grade is evaluated according to NCI-CTCAE version &ctcae.."
"TSFAE02","TITLE","Subjects With Treatment-emergent Adverse Events by System Organ Class and Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE02","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE02","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE02a","TITLE","Subjects With Treatment-emergent Adverse Events by System Organ Class, Preferred Term, and [Subgroup]; Safety Analysis Set (Study jjcs - core)"
"TSFAE02a","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE02a","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE03","TITLE","Subjects With Treatment-emergent Serious Adverse Events by System Organ Class and Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE03","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE03","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE03a","TITLE","Subjects With Treatment-emergent Serious Adverse Events by System Organ Class, Preferred Term, and [Subgroup]; Safety Analysis Set (Study jjcs - core)"
"TSFAE03a","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE03a","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE04","TITLE","Subjects With Treatment-emergent Adverse Events Leading to Permanent Discontinuation of Study Treatment by System Organ Class and Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE04","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE04","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE04a","TITLE","Subjects With Treatment-emergent Adverse Events Leading to Permanent Discontinuation of Study Treatment by System Organ Class, Preferred Term, and [Subgroup]; Safety Analysis Set (Study jjcs - core)"
"TSFAE04a","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE04a","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE05","TITLE","Subjects With Treatment-emergent Related Adverse Events by System Organ Class and Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE05","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE05","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE05a","TITLE","Subjects With Treatment-emergent Related Adverse Events by System Organ Class, Preferred Term, and [Subgroup]; Safety Analysis Set (Study jjcs - core)"
"TSFAE05a","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE05a","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE06a","TITLE","Subjects With Treatment-emergent Adverse Events With Frequency =[5]% in [Any Treatment Group] by Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE06a","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE06a","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE06b","TITLE","Subjects With Treatment-emergent Adverse Events With Frequency =[5]% in [Drug-treated] Group and =[2]% More Often in [Drug-treated] Group Than [Placebo-treated] Group by Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE06b","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE06b","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE07a","TITLE","Subjects With Treatment-emergent Adverse Events of Special Interest - [AESI Grouping]; Safety Analysis Set (Study jjcs - core)"
"TSFAE07a","FOOTNOTE1","~{super a} As determined by investigator."
"TSFAE07a","FOOTNOTE2","~{super b} Relevant laboratory results for AESI evaluation."
"TSFAE07a","FOOTNOTE3","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE07a","FOOTNOTE4","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE07b","TITLE","Subjects With Treatment-emergent Adverse Events of Special Interest - [AESI Grouping]; Safety Analysis Set (Study jjcs - core)"
"TSFAE07b","FOOTNOTE1","~{super a} As determined by investigator."
"TSFAE07b","FOOTNOTE2","~{super b} Relevant laboratory results for AESI evaluation."
"TSFAE07b","FOOTNOTE3","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE07b","FOOTNOTE4","Note: Adverse events are coded using MedDRA version 26.0; toxicity grade is evaluated according to NCI-CTCAE version &ctcae.."
"TSFAE08","TITLE","Subjects With Treatment-emergent Adverse Events (Excluding Serious Adverse Events) With Frequency =[5]% in [Any Treatment Group] by System Organ Class and Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE08","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE08","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE09","TITLE","Subjects With Treatment-emergent Adverse Events by System Organ Class; Safety Analysis Set (Study jjcs - core)"
"TSFAE09","FOOTNOTE1","Note: Subjects are counted only once for any given SOC, regardless of the number of times they actually experienced an event within the SOC."
"TSFAE09","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE10","TITLE","Subjects With Treatment-emergent Related Adverse Events With Frequency =[X]% in [Any Treatment Group] by Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE10","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE10","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE11","TITLE","Subjects With Treatment-emergent Adverse Events With Frequency =[x]% in [Any Treatment Group] by System Organ Class and Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE11","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE11","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE12","TITLE","Subjects With Treatment-emergent Adverse Events Leading to [Dose Modification of Study Treatment] by System Organ Class and Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE12","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE12","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE13","TITLE","Exposure-adjusted Incidence Rate Analysis by Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE13","FOOTNOTE1","Key: EAIR=exposure-adjusted incidence rate, SY=subject years"
"TSFAE13","FOOTNOTE2","~{super a} Subject years is the sum of all exposures per treatment group."
"TSFAE13","FOOTNOTE3","Note: EAIR is defined for each event as the number or subjects with an event divided by the sum of the at-risk exposure time. At-risk exposure time is calculated from [Day 1 to first onset of a specified event; for subjects with no event, it is the time from Day 1 to treatment discontinuation /completion date]."
"TSFAE13","FOOTNOTE4","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE14","TITLE","Subjects With Treatment-emergent Serious Adverse Events by System Organ Class and FDA Medical Query (Narrow); Safety Analysis Set (Study jjcs - core)"
"TSFAE14","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE14","FOOTNOTE2","~{super a} Each FMQ is aligned to a single system organ class based on clinical judgment, as defined by FDA. However, some FMQs may contain preferred terms from more than one system organ class."
"TSFAE15","TITLE","Subjects With Treatment-emergent Adverse Events Leading to Discontinuation of Study Treatment  by System Organ Class and FDA Medical Query (Narrow); Safety Analysis Set (Study jjcs - core)"
"TSFAE15","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE15","FOOTNOTE2","~{super a} Each FMQ is aligned to a single system organ class based on clinical judgment, as defined by FDA. However, some FMQs may contain preferred terms from more than one system organ class."
"TSFAE16","TITLE","Subjects With Treatment-emergent Adverse Events by System Organ Class and FDA Medical Query (Broad and Narrow); Safety Analysis Set (Study jjcs - core)"
"TSFAE16","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE16","FOOTNOTE2","~{super a} Each FMQ is aligned to a single system organ class based on clinical judgment, as defined by FDA. However, some FMQs may contain preferred terms from more than one system organ class."
"TSFAE16","FOOTNOTE3","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE17a","TITLE","Subjects With Treatment-emergent Serious Adverse Events by System Organ Class, FDA Medical Query (Narrow) and Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE17a","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE17a","FOOTNOTE2","~{super a} Each FMQ is aligned to a single system organ class based on clinical judgment, as defined by FDA. However, some FMQs may contain preferred terms from more than one system organ class. Preferred terms that are not included in any FMQ are not summarized."
"TSFAE17a","FOOTNOTE3","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE17b","TITLE","Subjects With Treatment-emergent Adverse Events Leading to Discontinuation of Study Treatment by System Organ Class, FDA Medical Query (Narrow) and Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE17b","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE17b","FOOTNOTE2","~{super a} Each FMQ is aligned to a single system organ class based on clinical judgment, as defined by FDA. However, some FMQs may contain preferred terms from more than one system organ class. Preferred terms that are not included in any FMQ are not summarized."
"TSFAE17b","FOOTNOTE3","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE17c","TITLE","Subjects With Treatment-emergent Adverse Events by System Organ Class, FDA Medical Query (Narrow) and Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE17c","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE17c","FOOTNOTE2","~{super a} Each FMQ is aligned to a single system organ class based on clinical judgment, as defined by FDA. However, some FMQs may contain preferred terms from more than one system organ class. Preferred terms that are not included in any FMQ are not summarized."
"TSFAE17c","FOOTNOTE3","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE17d","TITLE","Subjects With Treatment-emergent Adverse Events by System Organ Class, FDA Medical Query (Broad) and Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE17d","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE17d","FOOTNOTE2","~{super a} Each FMQ is aligned to a single system organ class based on clinical judgment, as defined by FDA. However, some FMQs may contain preferred terms from more than one system organ class. Preferred terms that are not included in any FMQ are not summarized."
"TSFAE17d","FOOTNOTE3","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE18a","TITLE","Subjects With Algorithmic FDA Medical Query; Safety Analysis Set (Study jjcs - core)"
"TSFAE18a","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE18b","TITLE","Subjects With Treatment-emergent Rhabdomyolysis and Other Muscle Injury Algorithmic FDA Medical Query; Safety Analysis Set (Study jjcs - core)"
"TSFAE18b","FOOTNOTE1","Key: CPK=creatine phosphokinase, CPK-MB=creatine phosphokinase-MB (an enzyme present in the cardiac muscle), FMQ=FDA Medical Query"
"TSFAE18b","FOOTNOTE2","~{super a} No CPK-MB/CPK >0.05 within 3 days nor CPK >ULN at baseline."
"TSFAE18b","FOOTNOTE3","~{super b} [PT myalgia + PT muscular weakness + (PT myoglobin urine present or PT chromaturia)] within 7 days."
"TSFAE18c","TITLE","Subjects With Treatment-emergent Hypoglycemia Algorithmic FDA Medical Query; Safety Analysis Set (Study jjcs - core)"
"TSFAE18c","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE18c","FOOTNOTE2","~{super a} Includes any Hypoglycemia FMQ broad term that is not a Hypoglycemia FMQ narrow term or any of the following supplemental terms: accident, anxiety, asthenia, balance disorder, cold sweat, coma, confusional state, coordination abnormal, dysarthria, fall, fatigue, headache, hunger, hyperhidrosis, irritability, loss of consciousness, palpitations, road traffic accident, seizure, tremor, vision blurred, and visual impairment."
"TSFAE18c","FOOTNOTE3","~{super b} Hypoglycemia term and plasma glucose level must occur within 7 days of each other."
"TSFAE18d","TITLE","Subjects With Treatment-emergent Hyperglycemia Algorithmic FDA Medical Query; Safety Analysis Set (Study jjcs - core)"
"TSFAE18d","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE18e","TITLE","Subjects With Treatment-emergent Hypersensitivity Algorithmic FDA Medical Query; Safety Analysis Set (Study jjcs - core)"
"TSFAE18e","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE18e","FOOTNOTE2","~{super a} Combinations of events must occur within 7 days of each other to qualify."
"TSFAE19a","TITLE","Subjects With Treatment-emergent Adverse Events by Male-specific FDA Medical Query (Narrow) and Preferred Term; Male-specific Safety Analysis Set (Study jjcs - core)"
"TSFAE19a","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE19a","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE19b","TITLE","Subjects With Treatment-emergent Adverse Events by Male-specific FDA Medical Query (Broad) and Preferred Term; Male-specific Safety Analysis Set (Study jjcs - core)"
"TSFAE19b","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE19b","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE19c","TITLE","Subjects With Treatment-emergent Adverse Events by Female-specific FDA Medical Query (Narrow) and Preferred Term; Female-specific Safety Analysis Set (Study jjcs - core)"
"TSFAE19c","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE19c","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE19d","TITLE","Subjects With Treatment-emergent Adverse Events by Female-specific FDA Medical Query (Broad) and Preferred Term; Female-specific Safety Analysis Set (Study jjcs - core)"
"TSFAE19d","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"TSFAE19d","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE20a","TITLE","Demographic Characteristics for Subjects With Treatment-emergent Adverse Events; Safety Analysis Set (Study jjcs - core)"
"TSFAE20a","FOOTNOTE1","Note:  n=number of subjects with at least one event, Ns=total number of subjects for each specific subgroup"
"TSFAE20b","TITLE","Demographic Characteristics for Subjects With Serious Treatment-emergent Adverse Events; Safety Analysis Set (Study jjcs - core)"
"TSFAE20b","FOOTNOTE1","Note:  n=number of subjects with at least one event, Ns=total number of subjects for each specific subgroup"
"TSFAE20c","TITLE","Demographic Characteristics for Subjects With Treatment-emergent Adverse Events - [FDA Medical Query of Interest / Preferred Term of Interest]; Safety Analysis Set (Study jjcs - core)"
