"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
">480 to ≤500","2 (3.8%)","6 (11.3%)","2 (3.6%)","VALUE",10,3,46,0
">500","4 (7.5%)","5 (9.4%)","3 (5.4%)","VALUE",10,3,47,0
"Month 6","","","","HEADER",11,1,47,1
"N","51","47","51","N",11,2,48,0
"≤450","37 (72.5%)","40 (85.1%)","42 (82.4%)","VALUE",11,3,49,0
">450 to ≤480 ","6 (11.8%)","2 (4.3%)","3 (5.9%)","VALUE",11,3,50,0
">480 to ≤500","5 (9.8%)","3 (6.4%)","3 (5.9%)","VALUE",11,3,51,0
">500","3 (5.9%)","2 (4.3%)","3 (5.9%)","VALUE",11,3,52,0
"Month 9","","","","HEADER",12,1,52,1
"N","41","42","51","N",12,2,53,0
"≤450","33 (80.5%)","33 (78.6%)","41 (80.4%)","VALUE",12,3,54,0
">450 to ≤480 ","4 (9.8%)","5 (11.9%)","3 (5.9%)","VALUE",12,3,55,0
">480 to ≤500","2 (4.9%)","1 (2.4%)","4 (7.8%)","VALUE",12,3,56,0
">500","2 (4.9%)","3 (7.1%)","3 (5.9%)","VALUE",12,3,57,0
"Month 12","","","","HEADER",13,1,57,1
"N","37","35","48","N",13,2,58,0
"≤450","33 (89.2%)","29 (82.9%)","37 (77.1%)","VALUE",13,3,59,0
">450 to ≤480 ","1 (2.7%)","3 (8.6%)","8 (16.7%)","VALUE",13,3,60,0
">480 to ≤500","2 (5.4%)","2 (5.7%)","1 (2.1%)","VALUE",13,3,61,0
">500","1 (2.7%)","1 (2.9%)","2 (4.2%)","VALUE",13,3,62,0
"QTcF Interval, Aggregate (msec)","","","","HEADER",14,0,62,1
"Baseline","","","","HEADER",14,1,63,0
"N","53","73","59","N",14,2,64,0
"≤450","44 (83.0%)","59 (80.8%)","42 (71.2%)","VALUE",14,3,65,0
">450 to ≤480 ","2 (3.8%)","6 (8.2%)","9 (15.3%)","VALUE",14,3,66,0
">480 to ≤500","4 (7.5%)","2 (2.7%)","5 (8.5%)","VALUE",14,3,67,0
">500","3 (5.7%)","6 (8.2%)","3 (5.1%)","VALUE",14,3,68,0
"Month 1","","","","HEADER",15,1,68,1
"N","53","71","58","N",15,2,69,0
"≤450","42 (79.2%)","57 (80.3%)","49 (84.5%)","VALUE",15,3,70,0
">450 to ≤480 ","3 (5.7%)","8 (11.3%)","1 (1.7%)","VALUE",15,3,71,0
">480 to ≤500","5 (9.4%)","2 (2.8%)","2 (3.4%)","VALUE",15,3,72,0
">500","3 (5.7%)","4 (5.6%)","6 (10.3%)","VALUE",15,3,73,0
"Month 3","","","","HEADER",16,1,73,1
"N","53","53","56","N",16,2,74,0
"≤450","42 (79.2%)","40 (75.5%)","43 (76.8%)","VALUE",16,3,75,0
">450 to ≤480 ","3 (5.7%)","4 (7.5%)","2 (3.6%)","VALUE",16,3,76,0
">480 to ≤500","6 (11.3%)","4 (7.5%)","5 (8.9%)","VALUE",16,3,77,0
">500","2 (3.8%)","5 (9.4%)","6 (10.7%)","VALUE",16,3,78,0
"Month 6","","","","HEADER",17,1,78,1
"N","51","47","51","N",17,2,79,0
"≤450","42 (82.4%)","37 (78.7%)","36 (70.6%)","VALUE",17,3,80,0
">450 to ≤480 ","4 (7.8%)","2 (4.3%)","7 (13.7%)","VALUE",17,3,81,0
">480 to ≤500","2 (3.9%)","1 (2.1%)","3 (5.9%)","VALUE",17,3,82,0
">500","3 (5.9%)","7 (14.9%)","5 (9.8%)","VALUE",17,3,83,0
"Month 9","","","","HEADER",18,1,83,1
"N","41","42","51","N",18,2,84,0
"≤450","32 (78.0%)","36 (85.7%)","38 (74.5%)","VALUE",18,3,85,0
">450 to ≤480 ","2 (4.9%)","1 (2.4%)","3 (5.9%)","VALUE",18,3,86,0
">480 to ≤500","3 (7.3%)","3 (7.1%)","4 (7.8%)","VALUE",18,3,87,0
">500","4 (9.8%)","2 (4.8%)","6 (11.8%)","VALUE",18,3,88,0
"Month 12","","","","HEADER",19,1,88,1
"N","37","35","48","N",19,2,89,0
"≤450","30 (81.1%)","27 (77.1%)","38 (79.2%)","VALUE",19,3,90,0
">450 to ≤480 ","2 (5.4%)","4 (11.4%)","7 (14.6%)","VALUE",19,3,91,0
">480 to ≤500","3 (8.1%)","0","2 (4.2%)","VALUE",19,3,92,0
">500","2 (5.4%)","4 (11.4%)","1 (2.1%)","VALUE",19,3,93,0
