"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Month 9","41/41 (100.0%)","273.0 (216.0, 330.0)","-35.4 (-115.2, 44.4)","42/42 (100.0%)","317.3 (262.8, 371.8)","-29.7 (-109.4, 50.0)","VALUE",3,1,14,0
"Month 12","37/37 (100.0%)","249.3 (195.1, 303.6)","-60.2 (-139.3, 18.8)","35/35 (100.0%)","286.8 (232.0, 341.7)","-58.9 (-145.1, 27.4)","VALUE",3,1,15,0
"Month 15","27/27 (100.0%)","292.3 (219.1, 365.6)","-32.1 (-132.1, 67.8)","29/29 (100.0%)","231.7 (166.3, 297.1)","-106.4 (-193.9, -18.9)","VALUE",3,1,16,0
"Month 18","23/23 (100.0%)","302.9 (214.7, 391.2)","-34.2 (-154.6, 86.2)","20/20 (100.0%)","331.0 (263.3, 398.6)","21.4 (-96.7, 139.5)","VALUE",3,1,17,0
"Month 24","22/22 (100.0%)","304.6 (223.8, 385.5)","-41.8 (-166.3, 82.6)","16/16 (100.0%)","274.6 (172.6, 376.7)","-36.5 (-197.5, 124.5)","VALUE",3,1,18,0
"QRS Duration, Aggregate (msec)","","","","","","","HEADER",4,0,18,1
"Baseline","53/53 (100.0%)","303.0 (257.4, 348.6)","","73/73 (100.0%)","305.2 (262.6, 347.8)","","VALUE",4,1,19,0
"Month 1","53/53 (100.0%)","307.3 (261.6, 353.1)","4.3 (-61.1, 69.7)","71/71 (100.0%)","273.4 (233.3, 313.4)","-31.9 (-100.7, 36.9)","VALUE",4,1,20,0
"Month 3","53/53 (100.0%)","314.8 (268.1, 361.5)","11.8 (-51.4, 75.0)","53/53 (100.0%)","321.8 (272.3, 371.2)","14.4 (-48.2, 77.0)","VALUE",4,1,21,0
"Month 6","51/51 (100.0%)","272.4 (219.7, 325.2)","-25.2 (-90.3, 39.9)","47/47 (100.0%)","287.2 (234.1, 340.3)","-14.4 (-81.7, 53.0)","VALUE",4,1,22,0
"Month 9","41/41 (100.0%)","310.9 (259.3, 362.5)","-20.5 (-89.5, 48.4)","42/42 (100.0%)","328.8 (283.2, 374.5)","32.4 (-39.5, 104.4)","VALUE",4,1,23,0
"Month 12","37/37 (100.0%)","241.8 (181.4, 302.3)","-75.2 (-153.0, 2.7)","35/35 (100.0%)","295.5 (234.7, 356.4)","-5.2 (-89.9, 79.4)","VALUE",4,1,24,0
"Month 15","27/27 (100.0%)","284.3 (208.5, 360.0)","-36.8 (-117.6, 44.1)","29/29 (100.0%)","268.5 (216.8, 320.1)","-8.2 (-88.1, 71.7)","VALUE",4,1,25,0
"Month 18","23/23 (100.0%)","277.1 (211.7, 342.6)","-51.3 (-127.4, 24.8)","20/20 (100.0%)","259.6 (169.2, 349.9)","-18.7 (-147.3, 109.9)","VALUE",4,1,26,0
"Month 24","22/22 (100.0%)","274.2 (200.2, 348.2)","-58.6 (-177.2, 60.0)","16/16 (100.0%)","276.4 (173.8, 378.9)","-17.2 (-142.3, 107.8)","VALUE",4,1,27,0
"QT Interval, Corrected (msec)","","","","","","","HEADER",5,0,27,1
"Baseline","53/53 (100.0%)","361.3 (335.6, 386.9)","","73/73 (100.0%)","356.8 (334.4, 379.3)","","VALUE",5,1,28,0
"Month 1","53/53 (100.0%)","361.6 (338.2, 385.0)","0.4 (-30.8, 31.5)","71/71 (100.0%)","397.2 (376.7, 417.8)","39.7 (6.0, 73.5)","VALUE",5,1,29,0
"Month 3","53/53 (100.0%)","364.2 (336.5, 391.9)","2.9 (-33.8, 39.7)","53/53 (100.0%)","372.4 (345.9, 398.9)","11.4 (-28.6, 51.4)","VALUE",5,1,30,0
"Month 6","51/51 (100.0%)","359.1 (330.0, 388.3)","-0.9 (-36.6, 34.7)","47/47 (100.0%)","356.2 (325.4, 387.1)","-10.8 (-50.8, 29.2)","VALUE",5,1,31,0
"Month 9","41/41 (100.0%)","367.9 (339.8, 396.0)","11.1 (-28.7, 51.0)","42/42 (100.0%)","356.4 (325.3, 387.5)","-4.9 (-47.2, 37.5)","VALUE",5,1,32,0
"Month 12","37/37 (100.0%)","381.6 (346.3, 416.9)","26.5 (-21.1, 74.1)","35/35 (100.0%)","354.4 (317.3, 391.6)","-14.1 (-61.6, 33.5)","VALUE",5,1,33,0
"Month 15","27/27 (100.0%)","403.8 (372.4, 435.2)","38.6 (-9.5, 86.7)","29/29 (100.0%)","365.9 (334.9, 396.9)","6.3 (-44.5, 57.1)","VALUE",5,1,34,0
"Month 18","23/23 (100.0%)","375.0 (327.4, 422.6)","19.6 (-36.9, 76.0)","20/20 (100.0%)","363.0 (315.3, 410.8)","16.6 (-52.8, 86.0)","VALUE",5,1,35,0
"Month 24","22/22 (100.0%)","364.6 (328.6, 400.7)","9.8 (-60.1, 79.6)","16/16 (100.0%)","384.5 (337.7, 431.3)","32.6 (-48.4, 113.5)","VALUE",5,1,36,0
"QTcB Interval, Aggregate (msec)","","","","","","","HEADER",6,0,36,1
"Baseline","53/53 (100.0%)","359.8 (330.1, 389.5)","","73/73 (100.0%)","348.7 (326.5, 370.9)","","VALUE",6,1,37,0
"Month 1","53/53 (100.0%)","367.9 (340.5, 395.3)","8.1 (-34.6, 50.8)","71/71 (100.0%)","349.3 (327.7, 370.8)","-1.0 (-31.5, 29.5)","VALUE",6,1,38,0
"Month 3","53/53 (100.0%)","361.7 (335.0, 388.3)","1.9 (-30.6, 34.4)","53/53 (100.0%)","364.5 (337.3, 391.7)","14.0 (-21.5, 49.6)","VALUE",6,1,39,0
"Month 6","51/51 (100.0%)","355.1 (326.3, 383.9)","-4.6 (-49.4, 40.1)","47/47 (100.0%)","347.7 (320.6, 374.7)","-4.6 (-45.5, 36.2)","VALUE",6,1,40,0
"Month 9","41/41 (100.0%)","353.8 (324.4, 383.2)","0.4 (-43.5, 44.4)","42/42 (100.0%)","352.1 (321.6, 382.6)","-2.4 (-44.0, 39.3)","VALUE",6,1,41,0
"Month 12","37/37 (100.0%)","359.6 (329.8, 389.4)","15.9 (-33.3, 65.2)","35/35 (100.0%)","351.0 (319.0, 383.0)","-1.7 (-43.5, 40.0)","VALUE",6,1,42,0
"Month 15","27/27 (100.0%)","374.8 (337.9, 411.7)","48.4 (-4.3, 101.1)","29/29 (100.0%)","380.2 (347.4, 412.9)","21.1 (-32.0, 74.1)","VALUE",6,1,43,0
"Month 18","23/23 (100.0%)","367.6 (329.7, 405.5)","30.8 (-16.0, 77.6)","20/20 (100.0%)","395.6 (348.4, 442.7)","35.0 (-32.1, 102.0)","VALUE",6,1,44,0
"Month 24","22/22 (100.0%)","358.0 (319.1, 396.8)","19.2 (-50.6, 89.0)","16/16 (100.0%)","406.6 (360.0, 453.3)","44.8 (-30.2, 119.9)","VALUE",6,1,45,0
"QTcF Interval, Aggregate (msec)","","","","","","","HEADER",7,0,45,1
"Baseline","53/53 (100.0%)","351.6 (324.9, 378.3)","","73/73 (100.0%)","347.4 (324.0, 370.8)","","VALUE",7,1,46,0
"Month 1","53/53 (100.0%)","345.1 (318.0, 372.1)","-6.5 (-39.6, 26.6)","71/71 (100.0%)","348.6 (326.9, 370.3)","0.3 (-31.4, 31.9)","VALUE",7,1,47,0
"Month 3","53/53 (100.0%)","354.6 (330.0, 379.3)","3.0 (-34.6, 40.7)","53/53 (100.0%)","372.4 (345.1, 399.7)","37.6 (1.6, 73.7)","VALUE",7,1,48,0
"Month 6","51/51 (100.0%)","339.7 (310.6, 368.8)","-12.6 (-51.2, 26.0)","47/47 (100.0%)","354.6 (324.9, 384.3)","12.5 (-29.5, 54.5)","VALUE",7,1,49,0
"Month 9","41/41 (100.0%)","366.8 (334.7, 398.9)","18.5 (-33.0, 69.9)","42/42 (100.0%)","366.9 (338.4, 395.4)","30.3 (-9.0, 69.6)","VALUE",7,1,50,0
"Month 12","37/37 (100.0%)","365.1 (335.2, 394.9)","11.4 (-34.6, 57.4)","35/35 (100.0%)","377.8 (346.5, 409.1)","39.4 (-12.5, 91.4)","VALUE",7,1,51,0
"Month 15","27/27 (100.0%)","383.8 (341.2, 426.4)","24.4 (-36.1, 84.9)","29/29 (100.0%)","326.1 (286.2, 366.1)","-18.6 (-74.0, 36.9)","VALUE",7,1,52,0
"Month 18","23/23 (100.0%)","333.4 (294.1, 372.8)","-36.9 (-92.3, 18.5)","20/20 (100.0%)","375.0 (328.6, 421.3)","6.7 (-63.2, 76.5)","VALUE",7,1,53,0
"Month 24","22/22 (100.0%)","379.0 (334.0, 424.0)","13.8 (-41.1, 68.7)","16/16 (100.0%)","380.6 (330.8, 430.5)","-3.4 (-56.9, 50.1)","VALUE",7,1,54,0
"RR Interval, Aggregate (msec)","","","","","","","HEADER",8,0,54,1
"Baseline","53/53 (100.0%)","313.7 (269.4, 357.9)","","73/73 (100.0%)","281.0 (241.4, 320.6)","","VALUE",8,1,55,0
"Month 1","53/53 (100.0%)","250.6 (206.9, 294.4)","-63.0 (-122.1, -4.0)","71/71 (100.0%)","320.7 (280.1, 361.3)","35.5 (-21.8, 92.8)","VALUE",8,1,56,0
"Month 3","53/53 (100.0%)","311.0 (266.0, 356.1)","-2.6 (-67.2, 62.0)","53/53 (100.0%)","310.6 (258.3, 362.8)","19.2 (-47.0, 85.5)","VALUE",8,1,57,0
"Month 6","51/51 (100.0%)","262.0 (218.0, 306.1)","-46.5 (-117.2, 24.2)","47/47 (100.0%)","307.1 (256.2, 358.1)","11.6 (-61.6, 84.8)","VALUE",8,1,58,0
"Month 9","41/41 (100.0%)","374.7 (325.8, 423.6)","61.7 (-15.3, 138.6)","42/42 (100.0%)","319.8 (270.3, 369.3)","26.1 (-43.9, 96.1)","VALUE",8,1,59,0
"Month 12","37/37 (100.0%)","214.6 (166.2, 263.0)","-98.3 (-174.0, -22.5)","35/35 (100.0%)","293.0 (232.3, 353.7)","7.7 (-62.5, 77.9)","VALUE",8,1,60,0
"Month 15","27/27 (100.0%)","297.4 (225.4, 369.4)","-8.4 (-85.9, 69.0)","29/29 (100.0%)","329.7 (265.8, 393.6)","37.1 (-57.4, 131.6)","VALUE",8,1,61,0
"Month 18","23/23 (100.0%)","289.6 (212.9, 366.3)","-32.9 (-138.6, 72.9)","20/20 (100.0%)","270.6 (203.8, 337.5)","-20.5 (-101.8, 60.8)","VALUE",8,1,62,0
"Month 24","22/22 (100.0%)","319.0 (234.7, 403.4)","4.3 (-85.6, 94.2)","16/16 (100.0%)","314.3 (236.3, 392.3)","14.9 (-106.5, 136.3)","VALUE",8,1,63,0
