"label","col 1","col 2","col 3","col 4","col 5","col 6","col 7","row_type","anbr","indentme","roworder","newrows"
"Grade 0","","70","2","0","0","0","72","VALUE",26,6,185,0
"Grade 1","","59","2","0","0","0","61","VALUE",26,6,186,0
"Grade 2","","41","2","0","0","0","43","VALUE",26,6,187,0
"Grade 3","","25","0","0","0","0","25","VALUE",26,6,188,0
"Grade 4","","2","0","0","0","0","2","VALUE",26,6,189,0
"Total","","70","2","0","0","0","72","VALUE",26,6,190,0
"Apalutamide Subgroup","96","","","","","","","VALUE",27,2,190,1
"Worst toxicity grade, n","","","","","","","","HEADER",27,4,191,0
"Grade 0","","90","3","0","0","0","93","VALUE",27,6,192,0
"Grade 1","","69","3","0","0","0","72","VALUE",27,6,193,0
"Grade 2","","47","1","0","0","0","48","VALUE",27,6,194,0
"Grade 3","","30","0","0","0","0","30","VALUE",27,6,195,0
"Grade 4","","2","0","0","0","0","2","VALUE",27,6,196,0
"Total","","93","3","0","0","0","96","VALUE",27,6,197,0
"Placebo","86","","","","","","","VALUE",28,2,197,1
"Worst toxicity grade, n","","","","","","","","HEADER",28,4,198,0
"Grade 0","","85","0","0","0","0","85","VALUE",28,6,199,0
"Grade 1","","77","0","0","0","0","77","VALUE",28,6,200,0
"Grade 2","","60","0","0","0","0","60","VALUE",28,6,201,0
"Grade 3","","32","0","0","0","0","32","VALUE",28,6,202,0
"Grade 4","","5","0","0","0","0","5","VALUE",28,6,203,0
"Total","","86","0","0","0","0","86","VALUE",28,6,204,0
"Metabolism and nutritional disorders","","","","","","","","HEADER",29,0,204,1
"CD4 lymphocytes decreased","","","","","","","","HEADER",29,1,205,0
"Apalutamide","70","","","","","","","VALUE",29,2,206,0
"Worst toxicity grade, n","","","","","","","","HEADER",29,4,207,0
"Grade 0","","70","0","0","0","0","70","VALUE",29,6,208,0
"Grade 1","","65","0","0","0","0","65","VALUE",29,6,209,0
"Grade 2","","39","0","0","0","0","39","VALUE",29,6,210,0
"Grade 3","","23","0","0","0","0","23","VALUE",29,6,211,0
"Grade 4","","6","0","0","0","0","6","VALUE",29,6,212,0
"Total","","70","0","0","0","0","70","VALUE",29,6,213,0
"Apalutamide Subgroup","95","","","","","","","VALUE",30,2,213,1
"Worst toxicity grade, n","","","","","","","","HEADER",30,4,214,0
"Grade 0","","87","2","0","0","0","89","VALUE",30,6,215,0
"Grade 1","","65","1","0","0","0","66","VALUE",30,6,216,0
"Grade 2","","49","0","0","0","0","49","VALUE",30,6,217,0
"Grade 3","","30","0","0","0","0","30","VALUE",30,6,218,0
"Grade 4","","4","1","0","0","0","5","VALUE",30,6,219,0
"Total","","93","2","0","0","0","95","VALUE",30,6,220,0
"Placebo","84","","","","","","","VALUE",31,2,220,1
"Worst toxicity grade, n","","","","","","","","HEADER",31,4,221,0
"Grade 0","","80","2","1","0","0","83","VALUE",31,6,222,0
"Grade 1","","72","2","1","0","0","75","VALUE",31,6,223,0
"Grade 2","","58","1","1","0","0","60","VALUE",31,6,224,0
"Grade 3","","37","0","1","0","0","38","VALUE",31,6,225,0
"Grade 4","","3","0","0","0","0","3","VALUE",31,6,226,0
"Total","","81","2","1","0","0","84","VALUE",31,6,227,0
"Hyperglycemia","","","","","","","","HEADER",32,1,227,1
"Apalutamide","72","","","","","","","VALUE",32,2,228,0
"Worst toxicity grade, n","","","","","","","","HEADER",32,4,229,0
"Grade 0","","72","0","0","0","0","72","VALUE",32,6,230,0
"Grade 1","","0","0","0","0","0","0","VALUE",32,6,231,0
"Grade 2","","0","0","0","0","0","0","VALUE",32,6,232,0
"Grade 3","","6","0","0","0","0","6","VALUE",32,6,233,0
"Grade 4","","0","0","0","0","0","0","VALUE",32,6,234,0
"Total","","72","0","0","0","0","72","VALUE",32,6,235,0
"Apalutamide Subgroup","96","","","","","","","VALUE",33,2,235,1
"Worst toxicity grade, n","","","","","","","","HEADER",33,4,236,0
"Grade 0","","96","0","0","0","0","96","VALUE",33,6,237,0
"Grade 1","","0","0","0","0","0","0","VALUE",33,6,238,0
"Grade 2","","0","0","0","0","0","0","VALUE",33,6,239,0
"Grade 3","","1","0","0","0","0","1","VALUE",33,6,240,0
"Grade 4","","0","0","0","0","0","0","VALUE",33,6,241,0
"Total","","96","0","0","0","0","96","VALUE",33,6,242,0
"Placebo","86","","","","","","","VALUE",34,2,242,1
"Worst toxicity grade, n","","","","","","","","HEADER",34,4,243,0
"Grade 0","","85","0","0","1","0","86","VALUE",34,6,244,0
"Grade 1","","0","0","0","0","0","0","VALUE",34,6,245,0
"Grade 2","","0","0","0","0","0","0","VALUE",34,6,246,0
"Grade 3","","1","0","0","1","0","2","VALUE",34,6,247,0
"Grade 4","","0","0","0","0","0","0","VALUE",34,6,248,0
"Total","","85","0","0","1","0","86","VALUE",34,6,249,0
"Hyperkalemia","","","","","","","","HEADER",35,1,249,1
"Apalutamide","72","","","","","","","VALUE",35,2,250,0
"Worst toxicity grade, n","","","","","","","","HEADER",35,4,251,0
"Grade 0","","72","0","0","0","0","72","VALUE",35,6,252,0
"Grade 1","","1","0","0","0","0","1","VALUE",35,6,253,0
"Grade 2","","1","0","0","0","0","1","VALUE",35,6,254,0
"Grade 3","","0","0","0","0","0","0","VALUE",35,6,255,0
"Grade 4","","0","0","0","0","0","0","VALUE",35,6,256,0
"Total","","72","0","0","0","0","72","VALUE",35,6,257,0
"Apalutamide Subgroup","95","","","","","","","VALUE",36,2,257,1
"Worst toxicity grade, n","","","","","","","","HEADER",36,4,258,0
"Grade 0","","95","0","0","0","0","95","VALUE",36,6,259,0
"Grade 1","","0","0","0","0","0","0","VALUE",36,6,260,0
"Grade 2","","0","0","0","0","0","0","VALUE",36,6,261,0
"Grade 3","","0","0","0","0","0","0","VALUE",36,6,262,0
"Grade 4","","0","0","0","0","0","0","VALUE",36,6,263,0
"Total","","95","0","0","0","0","95","VALUE",36,6,264,0
"Placebo","86","","","","","","","VALUE",37,2,264,1
"Worst toxicity grade, n","","","","","","","","HEADER",37,4,265,0
"Grade 0","","85","0","1","0","0","86","VALUE",37,6,266,0
"Grade 1","","0","0","1","0","0","1","VALUE",37,6,267,0
"Grade 2","","0","0","1","0","0","1","VALUE",37,6,268,0
"Grade 3","","0","0","0","0","0","0","VALUE",37,6,269,0
"Grade 4","","0","0","0","0","0","0","VALUE",37,6,270,0
"Total","","85","0","1","0","0","86","VALUE",37,6,271,0
"Hypernatremia","","","","","","","","HEADER",38,1,271,1
"Apalutamide","72","","","","","","","VALUE",38,2,272,0
"Worst toxicity grade, n","","","","","","","","HEADER",38,4,273,0
"Grade 0","","68","4","0","0","0","72","VALUE",38,6,274,0
"Grade 1","","8","4","0","0","0","12","VALUE",38,6,275,0
"Grade 2","","2","0","0","0","0","2","VALUE",38,6,276,0
"Grade 3","","0","0","0","0","0","0","VALUE",38,6,277,0
"Grade 4","","0","0","0","0","0","0","VALUE",38,6,278,0
"Total","","68","4","0","0","0","72","VALUE",38,6,279,0
"Apalutamide Subgroup","96","","","","","","","VALUE",39,2,279,1
"Worst toxicity grade, n","","","","","","","","HEADER",39,4,280,0
"Grade 0","","96","0","0","0","0","96","VALUE",39,6,281,0
"Grade 1","","9","0","0","0","0","9","VALUE",39,6,282,0
"Grade 2","","0","0","0","0","0","0","VALUE",39,6,283,0
"Grade 3","","0","0","0","0","0","0","VALUE",39,6,284,0
"Grade 4","","0","0","0","0","0","0","VALUE",39,6,285,0
"Total","","96","0","0","0","0","96","VALUE",39,6,286,0
"Placebo","86","","","","","","","VALUE",40,2,286,1
"Worst toxicity grade, n","","","","","","","","HEADER",40,4,287,0
"Grade 0","","83","3","0","0","0","86","VALUE",40,6,288,0
"Grade 1","","11","3","0","0","0","14","VALUE",40,6,289,0
"Grade 2","","0","0","0","0","0","0","VALUE",40,6,290,0
"Grade 3","","0","0","0","0","0","0","VALUE",40,6,291,0
"Grade 4","","0","0","0","0","0","0","VALUE",40,6,292,0
"Total","","83","3","0","0","0","86","VALUE",40,6,293,0
"Hypoalbuminemia","","","","","","","","HEADER",41,1,293,1
"Apalutamide","72","","","","","","","VALUE",41,2,294,0
"Worst toxicity grade, n","","","","","","","","HEADER",41,4,295,0
"Grade 0","","72","0","0","0","0","72","VALUE",41,6,296,0
"Grade 1","","67","0","0","0","0","67","VALUE",41,6,297,0
"Grade 2","","46","0","0","0","0","46","VALUE",41,6,298,0
"Grade 3","","31","0","0","0","0","31","VALUE",41,6,299,0
"Grade 4","","3","0","0","0","0","3","VALUE",41,6,300,0
"Total","","72","0","0","0","0","72","VALUE",41,6,301,0
"Apalutamide Subgroup","96","","","","","","","VALUE",42,2,301,1
"Worst toxicity grade, n","","","","","","","","HEADER",42,4,302,0
"Grade 0","","92","2","0","0","0","94","VALUE",42,6,303,0
"Grade 1","","68","2","0","0","0","70","VALUE",42,6,304,0
"Grade 2","","57","0","0","0","0","57","VALUE",42,6,305,0
"Grade 3","","25","0","0","0","0","25","VALUE",42,6,306,0
"Grade 4","","2","0","0","0","0","2","VALUE",42,6,307,0
"Total","","94","2","0","0","0","96","VALUE",42,6,308,0
"Placebo","86","","","","","","","VALUE",43,2,308,1
"Worst toxicity grade, n","","","","","","","","HEADER",43,4,309,0
"Grade 0","","83","2","0","0","0","85","VALUE",43,6,310,0
"Grade 1","","72","1","0","0","0","73","VALUE",43,6,311,0
"Grade 2","","57","1","0","0","0","58","VALUE",43,6,312,0
"Grade 3","","27","2","0","0","0","29","VALUE",43,6,313,0
"Grade 4","","4","0","0","0","0","4","VALUE",43,6,314,0
"Total","","84","2","0","0","0","86","VALUE",43,6,315,0
"Hypoglycemia","","","","","","","","HEADER",44,1,315,1
"Apalutamide","72","","","","","","","VALUE",44,2,316,0
"Worst toxicity grade, n","","","","","","","","HEADER",44,4,317,0
"Grade 0","","72","0","0","0","0","72","VALUE",44,6,318,0
"Grade 1","","59","0","0","0","0","59","VALUE",44,6,319,0
"Grade 2","","46","0","0","0","0","46","VALUE",44,6,320,0
"Grade 3","","27","0","0","0","0","27","VALUE",44,6,321,0
"Grade 4","","5","0","0","0","0","5","VALUE",44,6,322,0
"Total","","72","0","0","0","0","72","VALUE",44,6,323,0
"Apalutamide Subgroup","96","","","","","","","VALUE",45,2,323,1
"Worst toxicity grade, n","","","","","","","","HEADER",45,4,324,0
"Grade 0","","91","0","1","0","0","92","VALUE",45,6,325,0
"Grade 1","","71","0","0","0","0","71","VALUE",45,6,326,0
"Grade 2","","49","0","0","0","0","49","VALUE",45,6,327,0
"Grade 3","","33","0","0","0","0","33","VALUE",45,6,328,0
"Grade 4","","3","0","0","0","0","3","VALUE",45,6,329,0
"Total","","94","0","1","0","0","95","VALUE",45,6,330,0
"Placebo","86","","","","","","","VALUE",46,2,330,1
"Worst toxicity grade, n","","","","","","","","HEADER",46,4,331,0
"Grade 0","","85","0","0","0","0","85","VALUE",46,6,332,0
"Grade 1","","79","0","0","0","0","79","VALUE",46,6,333,0
"Grade 2","","54","0","0","0","0","54","VALUE",46,6,334,0
"Grade 3","","33","0","0","0","0","33","VALUE",46,6,335,0
"Grade 4","","3","0","0","0","0","3","VALUE",46,6,336,0
"Total","","86","0","0","0","0","86","VALUE",46,6,337,0
"Hypokalemia","","","","","","","","HEADER",47,1,337,1
"Apalutamide","72","","","","","","","VALUE",47,2,338,0
"Worst toxicity grade, n","","","","","","","","HEADER",47,4,339,0
"Grade 0","","72","0","0","0","0","72","VALUE",47,6,340,0
"Grade 1","","60","0","0","0","0","60","VALUE",47,6,341,0
"Grade 2","","53","0","0","0","0","53","VALUE",47,6,342,0
"Grade 3","","33","0","0","0","0","33","VALUE",47,6,343,0
"Grade 4","","5","0","0","0","0","5","VALUE",47,6,344,0
"Total","","72","0","0","0","0","72","VALUE",47,6,345,0
"Apalutamide Subgroup","95","","","","","","","VALUE",48,2,345,1
"Worst toxicity grade, n","","","","","","","","HEADER",48,4,346,0
"Grade 0","","92","0","0","0","0","92","VALUE",48,6,347,0
"Grade 1","","69","0","0","0","0","69","VALUE",48,6,348,0
"Grade 2","","50","0","0","0","0","50","VALUE",48,6,349,0
"Grade 3","","30","0","0","0","0","30","VALUE",48,6,350,0
"Grade 4","","6","0","0","0","0","6","VALUE",48,6,351,0
"Total","","94","0","0","0","0","94","VALUE",48,6,352,0
"Placebo","86","","","","","","","VALUE",49,2,352,1
"Worst toxicity grade, n","","","","","","","","HEADER",49,4,353,0
"Grade 0","","84","0","0","0","0","84","VALUE",49,6,354,0
"Grade 1","","74","0","0","0","0","74","VALUE",49,6,355,0
"Grade 2","","55","0","0","0","0","55","VALUE",49,6,356,0
"Grade 3","","39","0","0","0","0","39","VALUE",49,6,357,0
"Grade 4","","5","0","0","0","0","5","VALUE",49,6,358,0
"Total","","86","0","0","0","0","86","VALUE",49,6,359,0
"Hyponatremia","","","","","","","","HEADER",50,1,359,1
"Apalutamide","72","","","","","","","VALUE",50,2,360,0
"Worst toxicity grade, n","","","","","","","","HEADER",50,4,361,0
"Grade 0","","70","2","0","0","0","72","VALUE",50,6,362,0
"Grade 1","","62","1","0","0","0","63","VALUE",50,6,363,0
"Grade 2","","45","1","0","0","0","46","VALUE",50,6,364,0
"Grade 3","","31","0","0","0","0","31","VALUE",50,6,365,0
"Grade 4","","5","0","0","0","0","5","VALUE",50,6,366,0
"Total","","70","2","0","0","0","72","VALUE",50,6,367,0
"Apalutamide Subgroup","96","","","","","","","VALUE",51,2,367,1
"Worst toxicity grade, n","","","","","","","","HEADER",51,4,368,0
"Grade 0","","86","3","0","0","0","89","VALUE",51,6,369,0
"Grade 1","","69","2","0","0","0","71","VALUE",51,6,370,0
"Grade 2","","52","2","0","0","0","54","VALUE",51,6,371,0
"Grade 3","","34","0","0","0","0","34","VALUE",51,6,372,0
"Grade 4","","2","0","0","0","0","2","VALUE",51,6,373,0
"Total","","93","3","0","0","0","96","VALUE",51,6,374,0
"Placebo","86","","","","","","","VALUE",52,2,374,1
"Worst toxicity grade, n","","","","","","","","HEADER",52,4,375,0
"Grade 0","","84","2","0","0","0","86","VALUE",52,6,376,0
"Grade 1","","73","2","0","0","0","75","VALUE",52,6,377,0
"Grade 2","","59","2","0","0","0","61","VALUE",52,6,378,0
"Grade 3","","32","0","0","0","0","32","VALUE",52,6,379,0
"Grade 4","","2","0","0","0","0","2","VALUE",52,6,380,0
