"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows","newpage"
"Hyponatremia","","","","","","HEADER",9,1,33,1,0
"N","8","5","7","","","N",9,2,34,0,0
"Grade 1","7 (87.5%)","4 (80.0%)","5 (71.4%)","16.1 (-24.5, 56.6)","8.6 (-39.9, 57.0)","VALUE",9,3,35,0,0
"Grade 3","3 (37.5%)","1 (20.0%)","3 (42.9%)","-5.4 (-55.0, 44.3)","-22.9 (-73.6, 27.9)","VALUE",9,3,36,0,0
"Grade 4","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",9,3,37,0,0
"Age: ≥65 to <75 years","16","17","19","","","VALUE",2,0,0,0,1
""," "," "," "," "," ","VALUE",2,0,1,0,0
"Blood and lymphatic system disorders","","","","","","HEADER",2,0,2,0,0
"Anemia","","","","","","HEADER",2,1,3,0,0
"N","16","17","19","","","N",2,2,4,0,0
"Grade 1","11 (68.8%)","10 (58.8%)","17 (89.5%)","-20.7 (-47.3, 5.9)","-30.7 (-57.8, -3.5)","VALUE",2,3,5,0,0
"Grade 2","11 (68.8%)","8 (47.1%)","13 (68.4%)","0.3 (-30.5, 31.2)","-21.4 (-53.0, 10.3)","VALUE",2,3,6,0,0
"Grade 3","9 (56.2%)","5 (29.4%)","9 (47.4%)","8.9 (-24.2, 42.0)","-18.0 (-49.2, 13.2)","VALUE",2,3,7,0,0
"Leukocytosis","","","","","","HEADER",3,1,7,1,0
"N","16","17","19","","","N",3,2,8,0,0
"Grade 3","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",3,3,9,0,0
"Metabolism and nutritional disorders","","","","","","HEADER",4,0,9,1,0
"Hyperkalemia","","","","","","HEADER",4,1,10,0,0
"N","16","17","19","","","N",4,2,11,0,0
"Grade 1","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,3,12,0,0
"Grade 2","1 (6.2%)","0","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",4,3,13,0,0
"Grade 3","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,3,14,0,0
"Grade 4","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,3,15,0,0
"Hypernatremia","","","","","","HEADER",5,1,15,1,0
"N","16","17","19","","","N",5,2,16,0,0
"Grade 1","2 (12.5%)","2 (11.8%)","5 (26.3%)","-13.8 (-39.4, 11.8)","-14.6 (-39.6, 10.5)","VALUE",5,3,17,0,0
"Grade 2","1 (6.2%)","0","0","6.2 (-5.6, 18.1)","0.0 (0.0, 0.0)","VALUE",5,3,18,0,0
"Grade 3","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,3,19,0,0
"Grade 4","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,3,20,0,0
"Hypoalbuminemia","","","","","","HEADER",6,1,20,1,0
"N","16","17","19","","","N",6,2,21,0,0
"Grade 1","15 (93.8%)","10 (58.8%)","18 (94.7%)","-1.0 (-16.5, 14.6)","-35.9 (-61.4, -10.5)","VALUE",6,3,22,0,0
"Grade 2","10 (62.5%)","6 (35.3%)","14 (73.7%)","-11.2 (-42.1, 19.7)","-38.4 (-68.5, -8.3)","VALUE",6,3,23,0,0
"Grade 3","7 (43.8%)","4 (23.5%)","6 (31.6%)","12.2 (-19.9, 44.2)","-8.0 (-37.1, 21.0)","VALUE",6,3,24,0,0
"Hypoglycemia","","","","","","HEADER",7,1,24,1,0
"N","16","17","19","","","N",7,2,25,0,0
"Grade 1","13 (81.2%)","11 (64.7%)","18 (94.7%)","-13.5 (-35.1, 8.1)","-30.0 (-54.9, -5.2)","VALUE",7,3,26,0,0
"Grade 2","11 (68.8%)","8 (47.1%)","10 (52.6%)","16.1 (-15.8, 48.1)","-5.6 (-38.2, 27.1)","VALUE",7,3,27,0,0
"Grade 3","7 (43.8%)","5 (29.4%)","6 (31.6%)","12.2 (-19.9, 44.2)","-2.2 (-32.3, 27.9)","VALUE",7,3,28,0,0
"Grade 4","1 (6.2%)","2 (11.8%)","0","6.2 (-5.6, 18.1)","11.8 (-3.6, 27.1)","VALUE",7,3,29,0,0
"Hypokalemia","","","","","","HEADER",8,1,29,1,0
"N","16","16","19","","","N",8,2,30,0,0
"Grade 2","12 (75.0%)","5 (31.2%)","11 (57.9%)","17.1 (-13.6, 47.8)","-26.6 (-58.4, 5.1)","VALUE",8,3,31,0,0
"Grade 3","6 (37.5%)","4 (25.0%)","10 (52.6%)","-15.1 (-47.8, 17.5)","-27.6 (-58.5, 3.3)","VALUE",8,3,32,0,0
"Grade 4","1 (6.2%)","1 (6.2%)","2 (10.5%)","-4.3 (-22.5, 13.9)","-4.3 (-22.5, 13.9)","VALUE",8,3,33,0,0
"Hyponatremia","","","","","","HEADER",9,1,33,1,0
"N","16","15","19","","","N",9,2,34,0,0
"Grade 1","14 (87.5%)","11 (73.3%)","17 (89.5%)","-2.0 (-23.3, 19.3)","-16.1 (-42.4, 10.2)","VALUE",9,3,35,0,0
"Grade 3","5 (31.2%)","8 (53.3%)","7 (36.8%)","-5.6 (-37.0, 25.8)","16.5 (-16.8, 49.8)","VALUE",9,3,36,0,0
"Grade 4","2 (12.5%)","1 (6.7%)","0","12.5 (-3.7, 28.7)","6.7 (-6.0, 19.3)","VALUE",9,3,37,0,0
"Age: ≥75 years","29","51","33","","","VALUE",2,0,0,0,1
""," "," "," "," "," ","VALUE",2,0,1,0,0
"Blood and lymphatic system disorders","","","","","","HEADER",2,0,2,0,0
"Anemia","","","","","","HEADER",2,1,3,0,0
"N","29","51","33","","","N",2,2,4,0,0
"Grade 1","24 (82.8%)","41 (80.4%)","29 (87.9%)","-5.1 (-22.8, 12.6)","-7.5 (-23.1, 8.1)","VALUE",2,3,5,0,0
"Grade 2","19 (65.5%)","25 (49.0%)","21 (63.6%)","1.9 (-22.0, 25.7)","-14.6 (-36.0, 6.8)","VALUE",2,3,6,0,0
"Grade 3","10 (34.5%)","23 (45.1%)","12 (36.4%)","-1.9 (-25.7, 22.0)","8.7 (-12.6, 30.1)","VALUE",2,3,7,0,0
"Leukocytosis","","","","","","HEADER",3,1,7,1,0
"N","29","51","33","","","N",3,2,8,0,0
"Grade 3","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",3,3,9,0,0
"Metabolism and nutritional disorders","","","","","","HEADER",4,0,9,1,0
"Hyperkalemia","","","","","","HEADER",4,1,10,0,0
"N","29","51","33","","","N",4,2,11,0,0
"Grade 1","1 (3.4%)","0","1 (3.0%)","0.4 (-8.4, 9.3)","-3.0 (-8.9, 2.8)","VALUE",4,3,12,0,0
"Grade 2","0","0","1 (3.0%)","-3.0 (-8.9, 2.8)","-3.0 (-8.9, 2.8)","VALUE",4,3,13,0,0
"Grade 3","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,3,14,0,0
"Grade 4","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,3,15,0,0
"Hypernatremia","","","","","","HEADER",5,1,15,1,0
"N","29","51","33","","","N",5,2,16,0,0
"Grade 1","5 (17.2%)","4 (7.8%)","4 (12.1%)","5.1 (-12.6, 22.8)","-4.3 (-17.6, 9.1)","VALUE",5,3,17,0,0
"Grade 2","1 (3.4%)","0","0","3.4 (-3.2, 10.1)","0.0 (0.0, 0.0)","VALUE",5,3,18,0,0
"Grade 3","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,3,19,0,0
"Grade 4","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,3,20,0,0
"Hypoalbuminemia","","","","","","HEADER",6,1,20,1,0
"N","29","51","33","","","N",6,2,21,0,0
"Grade 1","25 (86.2%)","38 (74.5%)","25 (75.8%)","10.4 (-8.8, 29.7)","-1.2 (-20.1, 17.6)","VALUE",6,3,22,0,0
"Grade 2","17 (58.6%)","31 (60.8%)","20 (60.6%)","-2.0 (-26.5, 22.5)","0.2 (-21.2, 21.6)","VALUE",6,3,23,0,0
"Grade 3","14 (48.3%)","15 (29.4%)","12 (36.4%)","11.9 (-12.6, 36.4)","-7.0 (-27.6, 13.7)","VALUE",6,3,24,0,0
"Hypoglycemia","","","","","","HEADER",7,1,24,1,0
"N","29","50","33","","","N",7,2,25,0,0
"Grade 1","24 (82.8%)","36 (72.0%)","30 (90.9%)","-8.2 (-25.0, 8.7)","-18.9 (-34.8, -3.1)","VALUE",7,3,26,0,0
"Grade 2","21 (72.4%)","25 (50.0%)","21 (63.6%)","8.8 (-14.3, 31.9)","-13.6 (-35.1, 7.8)","VALUE",7,3,27,0,0
"Grade 3","9 (31.0%)","17 (34.0%)","14 (42.4%)","-11.4 (-35.2, 12.4)","-8.4 (-29.8, 12.9)","VALUE",7,3,28,0,0
"Grade 4","2 (6.9%)","0","2 (6.1%)","0.8 (-11.5, 13.1)","-6.1 (-14.2, 2.1)","VALUE",7,3,29,0,0
"Hypokalemia","","","","","","HEADER",8,1,29,1,0
"N","29","51","31","","","N",8,2,30,0,0
"Grade 2","22 (75.9%)","28 (54.9%)","22 (71.0%)","4.9 (-17.4, 27.2)","-16.1 (-37.1, 5.0)","VALUE",8,3,31,0,0
"Grade 3","17 (58.6%)","17 (33.3%)","15 (48.4%)","10.2 (-14.9, 35.3)","-15.1 (-36.9, 6.8)","VALUE",8,3,32,0,0
"Grade 4","3 (10.3%)","5 (9.8%)","2 (6.5%)","3.9 (-10.2, 18.0)","3.4 (-8.5, 15.2)","VALUE",8,3,33,0,0
"Hyponatremia","","","","","","HEADER",9,1,33,1,0
"N","29","51","33","","","N",9,2,34,0,0
"Grade 1","26 (89.7%)","38 (74.5%)","29 (87.9%)","1.8 (-13.9, 17.5)","-13.4 (-29.7, 3.0)","VALUE",9,3,35,0,0
"Grade 3","13 (44.8%)","19 (37.3%)","15 (45.5%)","-0.6 (-25.5, 24.2)","-8.2 (-29.8, 13.4)","VALUE",9,3,36,0,0
"Grade 4","3 (10.3%)","0","0","10.3 (-0.7, 21.4)","0.0 (0.0, 0.0)","VALUE",9,3,37,0,0
