"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows","newpage"
"Calcium (mmol/L)","","","","HEADER",2,0,2,0,0
"Baseline","16/16 (100.0%)","2.3203 (2.2609, 2.3798)","","VALUE",2,1,3,0,0
"Cycle 02","8/16 (50.0%)","2.3484 (2.2869, 2.4099)","0.0218 (-0.0473, 0.0910)","VALUE",2,1,4,0,0
"Cycle 03","7/16 (43.8%)","2.3453 (2.2006, 2.4900)","0.0214 (-0.0623, 0.1050)","VALUE",2,1,5,0,0
"Cycle 04","9/15 (60.0%)","2.2399 (2.1903, 2.2895)","-0.0582 (-0.1196, 0.0032)","VALUE",2,1,6,0,0
"Glucose (mmol/L)","","","","HEADER",3,0,6,1,0
"Baseline","16/16 (100.0%)","5.1590 (4.6692, 5.6488)","","VALUE",3,1,7,0,0
"Cycle 02","7/16 (43.8%)","4.8135 (3.9354, 5.6916)","-0.0317 (-0.9213, 0.8579)","VALUE",3,1,8,0,0
"Cycle 03","10/16 (62.5%)","6.3948 (4.4308, 8.3587)","0.9992 (-0.3407, 2.3390)","VALUE",3,1,9,0,0
"Cycle 04","7/15 (46.7%)","5.3131 (3.9917, 6.6346)","0.4361 (-1.3230, 2.1953)","VALUE",3,1,10,0,0
"Potassium (mmol/L)","","","","HEADER",4,0,10,1,0
"Baseline","15/16 (93.8%)","4.43 (4.24, 4.62)","","VALUE",4,1,11,0,0
"Cycle 02","9/16 (56.2%)","4.57 (4.25, 4.88)","0.26 (-0.08, 0.59)","VALUE",4,1,12,0,0
"Cycle 03","8/16 (50.0%)","4.26 (4.03, 4.50)","-0.36 (-0.64, -0.08)","VALUE",4,1,13,0,0
"Cycle 04","8/15 (53.3%)","4.16 (4.04, 4.29)","-0.41 (-0.70, -0.13)","VALUE",4,1,14,0,0
"Sodium (mmol/L)","","","","HEADER",5,0,14,1,0
"Baseline","15/16 (93.8%)","140.3 (138.9, 141.7)","","VALUE",5,1,15,0,0
"Cycle 02","10/16 (62.5%)","138.8 (137.5, 140.1)","-1.9 (-4.1, 0.3)","VALUE",5,1,16,0,0
"Cycle 03","8/16 (50.0%)","139.2 (137.9, 140.6)","-1.5 (-3.7, 0.7)","VALUE",5,1,17,0,0
"Cycle 04","2/15 (13.3%)","138.5 (81.3, 195.7)","-1.5 (-71.4, 68.4)","VALUE",5,1,18,0,0
"Age: ≥75 years","29","","","VALUE",2,0,0,0,1
""," "," "," ","VALUE",2,0,1,0,0
"Calcium (mmol/L)","","","","HEADER",2,0,2,0,0
"Baseline","28/29 (96.6%)","2.2918 (2.2512, 2.3324)","","VALUE",2,1,3,0,0
"Cycle 02","18/29 (62.1%)","2.2732 (2.2059, 2.3405)","-0.0236 (-0.0790, 0.0318)","VALUE",2,1,4,0,0
"Cycle 03","11/29 (37.9%)","2.2773 (2.2206, 2.3339)","0.0045 (-0.0722, 0.0813)","VALUE",2,1,5,0,0
"Cycle 04","13/27 (48.1%)","2.2935 (2.2520, 2.3350)","-0.0038 (-0.0737, 0.0660)","VALUE",2,1,6,0,0
"Glucose (mmol/L)","","","","HEADER",3,0,6,1,0
"Baseline","27/29 (93.1%)","5.4852 (4.9345, 6.0359)","","VALUE",3,1,7,0,0
"Cycle 02","16/29 (55.2%)","7.3308 (4.8598, 9.8018)","1.4988 (-0.3368, 3.3343)","VALUE",3,1,8,0,0
"Cycle 03","14/29 (48.3%)","6.3678 (4.9685, 7.7671)","0.8009 (0.1175, 1.4844)","VALUE",3,1,9,0,0
"Cycle 04","12/27 (44.4%)","7.6743 (4.1117, 11.2368)","1.4756 (-1.3474, 4.2987)","VALUE",3,1,10,0,0
"Potassium (mmol/L)","","","","HEADER",4,0,10,1,0
"Baseline","28/29 (96.6%)","4.19 (4.05, 4.34)","","VALUE",4,1,11,0,0
"Cycle 02","15/29 (51.7%)","4.24 (4.03, 4.45)","0.17 (-0.02, 0.36)","VALUE",4,1,12,0,0
"Cycle 03","11/29 (37.9%)","4.32 (4.02, 4.61)","-0.13 (-0.50, 0.25)","VALUE",4,1,13,0,0
"Cycle 04","10/27 (37.0%)","4.21 (3.91, 4.51)","0.05 (-0.24, 0.34)","VALUE",4,1,14,0,0
"Sodium (mmol/L)","","","","HEADER",5,0,14,1,0
"Baseline","29/29 (100.0%)","140.0 (139.1, 141.0)","","VALUE",5,1,15,0,0
"Cycle 02","9/29 (31.0%)","139.0 (137.0, 141.0)","-0.2 (-3.2, 2.7)","VALUE",5,1,16,0,0
"Cycle 03","14/29 (48.3%)","140.0 (138.3, 141.7)","0.8 (-1.1, 2.6)","VALUE",5,1,17,0,0
"Cycle 04","20/27 (74.1%)","141.2 (140.1, 142.4)","1.6 (0.4, 2.7)","VALUE",5,1,18,0,0
