"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows","newpage"
"Cycle 03","11/19 (57.9%)","2.2432 (2.1973, 2.2891)","-0.0227 (-0.0727, 0.0273)","0.0441 (-0.0459, 0.1340)","0.0327 (-0.0664, 0.1317)","VALUE",2,1,5,0,0
"Cycle 04","7/19 (36.8%)","2.2776 (2.1755, 2.3796)","0.0036 (-0.1450, 0.1522)","-0.0618 (-0.2137, 0.0902)","-0.0535 (-0.2369, 0.1300)","VALUE",2,1,6,0,0
"Glucose (mmol/L)","","","","","","HEADER",3,0,6,1,0
"Baseline","18/19 (94.7%)","5.1008 (4.8030, 5.3985)","","","","VALUE",3,1,7,0,0
"Cycle 02","13/19 (68.4%)","5.3204 (4.3573, 6.2835)","0.1751 (-0.6520, 1.0022)","-0.2068 (-1.3187, 0.9051)","-0.7540 (-2.1518, 0.6439)","VALUE",3,1,8,0,0
"Cycle 03","9/19 (47.4%)","5.7977 (4.6869, 6.9086)","0.4071 (-0.8660, 1.6802)","0.5921 (-1.1162, 2.3004)","-0.2220 (-1.5185, 1.0744)","VALUE",3,1,9,0,0
"Cycle 04","5/19 (26.3%)","4.6961 (4.2532, 5.1391)","-0.2442 (-0.6680, 0.1795)","0.6804 (-1.0830, 2.4438)","0.1887 (-1.4562, 1.8337)","VALUE",3,1,10,0,0
"Potassium (mmol/L)","","","","","","HEADER",4,0,10,1,0
"Baseline","19/19 (100.0%)","4.16 (3.95, 4.36)","","","","VALUE",4,1,11,0,0
"Cycle 02","8/19 (42.1%)","4.11 (3.83, 4.39)","-0.03 (-0.37, 0.32)","0.28 (-0.16, 0.72)","-0.17 (-0.66, 0.31)","VALUE",4,1,12,0,0
"Cycle 03","9/19 (47.4%)","3.93 (3.78, 4.09)","-0.20 (-0.50, 0.10)","-0.16 (-0.53, 0.21)","0.07 (-0.34, 0.48)","VALUE",4,1,13,0,0
"Cycle 04","10/19 (52.6%)","4.26 (4.00, 4.52)","0.06 (-0.21, 0.33)","-0.47 (-0.83, -0.11)","-0.16 (-1.36, 1.04)","VALUE",4,1,14,0,0
"Sodium (mmol/L)","","","","","","HEADER",5,0,14,1,0
"Baseline","18/19 (94.7%)","140.4 (139.3, 141.5)","","","","VALUE",5,1,15,0,0
"Cycle 02","12/19 (63.2%)","142.0 (140.0, 144.0)","2.4 (-0.1, 4.9)","-4.3 (-7.4, -1.2)","-2.4 (-6.2, 1.3)","VALUE",5,1,16,0,0
"Cycle 03","11/19 (57.9%)","140.5 (139.1, 141.8)","0.2 (-1.8, 2.2)","-1.7 (-4.4, 1.1)","-0.4 (-3.0, 2.2)","VALUE",5,1,17,0,0
"Cycle 04","9/19 (47.4%)","139.9 (138.3, 141.4)","-0.6 (-2.8, 1.7)","-0.9 (-62.9, 61.0)","0.3 (-2.6, 3.2)","VALUE",5,1,18,0,0
"Age: ≥75 years","33","","","","","VALUE",2,0,0,0,1
""," "," "," "," "," ","VALUE",2,0,1,0,0
"Calcium (mmol/L)","","","","","","HEADER",2,0,2,0,0
"Baseline","31/33 (93.9%)","2.3131 (2.2837, 2.3424)","","","","VALUE",2,1,3,0,0
"Cycle 02","17/32 (53.1%)","2.2646 (2.2189, 2.3103)","-0.0470 (-0.0990, 0.0051)","0.0234 (-0.0498, 0.0966)","0.0390 (-0.0295, 0.1076)","VALUE",2,1,4,0,0
"Cycle 03","11/30 (36.7%)","2.2636 (2.2095, 2.3177)","-0.0340 (-0.0850, 0.0170)","0.0386 (-0.0485, 0.1257)","0.0057 (-0.0547, 0.0662)","VALUE",2,1,5,0,0
"Cycle 04","16/27 (59.3%)","2.2891 (2.2318, 2.3465)","-0.0312 (-0.0847, 0.0223)","0.0273 (-0.0567, 0.1114)","0.0381 (-0.0263, 0.1025)","VALUE",2,1,6,0,0
"Glucose (mmol/L)","","","","","","HEADER",3,0,6,1,0
"Baseline","32/33 (97.0%)","5.5042 (5.0416, 5.9668)","","","","VALUE",3,1,7,0,0
"Cycle 02","16/32 (50.0%)","5.4781 (4.8872, 6.0691)","-0.1596 (-0.7538, 0.4346)","1.6584 (-0.2425, 3.5593)","0.5112 (-0.2929, 1.3152)","VALUE",3,1,8,0,0
"Cycle 03","12/30 (40.0%)","5.0468 (4.3048, 5.7888)","-0.3654 (-1.3988, 0.6679)","1.1664 (-0.0153, 2.3481)","0.4256 (-0.6595, 1.5107)","VALUE",3,1,9,0,0
"Cycle 04","14/27 (51.9%)","5.7849 (4.4980, 7.0718)","0.0634 (-0.9333, 1.0602)","1.4122 (-1.5146, 4.3390)","-0.3618 (-1.4765, 0.7529)","VALUE",3,1,10,0,0
"Potassium (mmol/L)","","","","","","HEADER",4,0,10,1,0
"Baseline","31/33 (93.9%)","4.27 (4.13, 4.42)","","","","VALUE",4,1,11,0,0
"Cycle 02","16/32 (50.0%)","4.30 (4.10, 4.50)","0.09 (-0.15, 0.33)","0.08 (-0.22, 0.37)","-0.07 (-0.37, 0.23)","VALUE",4,1,12,0,0
"Cycle 03","13/30 (43.3%)","4.17 (3.87, 4.47)","-0.08 (-0.34, 0.18)","-0.05 (-0.48, 0.38)","0.10 (-0.19, 0.40)","VALUE",4,1,13,0,0
"Cycle 04","15/27 (55.6%)","4.29 (4.10, 4.48)","-0.02 (-0.28, 0.24)","0.07 (-0.29, 0.43)","0.05 (-0.27, 0.37)","VALUE",4,1,14,0,0
"Sodium (mmol/L)","","","","","","HEADER",5,0,14,1,0
"Baseline","32/33 (97.0%)","141.0 (139.9, 142.0)","","","","VALUE",5,1,15,0,0
"Cycle 02","15/32 (46.9%)","139.3 (137.5, 141.2)","-0.6 (-2.1, 0.9)","0.4 (-2.8, 3.5)","1.4 (-0.6, 3.4)","VALUE",5,1,16,0,0
"Cycle 03","11/30 (36.7%)","139.5 (137.3, 141.6)","-1.6 (-3.8, 0.6)","2.4 (-0.3, 5.2)","2.1 (-0.4, 4.6)","VALUE",5,1,17,0,0
"Cycle 04","9/27 (33.3%)","140.7 (139.5, 141.9)","-1.4 (-4.2, 1.3)","3.0 (0.1, 5.9)","2.5 (-0.4, 5.4)","VALUE",5,1,18,0,0
